Scheduled,Open,Best Odds,DK CO logo,FanDuel CO logo,BetMGM CO logo,DK NJ logo,bet365 CO logo,BetRivers CO logo,,Fanatics CO logo,Caesars CO logo,bet365 NJ logo
Athletics Team Icon,-111,-126FanDuel CO Logo,-132,-126,-135,-132,-135,-129,N/A,-130,N/A,-135
Athletics,-111,+115bet365 CO Logo,109,108,110,109,115,104,N/A,110,N/A,115
929,,,,,,,,,,,,
0,,,,,,,,,,,,
Padres Team Icon,,,,,,,,,,,,
Padres,,,,,,,,,,,,
930,,,,,,,,,,,,
2,,,,,,,,,,,,
Final,,,,,,,,,,,,
Cardinals Team Icon,-108,-104FanDuel CO Logo,-105,-104,N/A,-105,N/A,-110,N/A,-105,N/A,N/A
Cardinals,-108,-112FanDuel CO Logo,-114,-112,N/A,-114,N/A,-113,N/A,-115,N/A,N/A
931,,,,,,,,,,,,
8,,,,,,,,,,,,
Reds Team Icon,,,,,,,,,,,,
Reds,,,,,,,,,,,,
932,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
,,,,,,,,,,,,
Rays Team Icon,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rays,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
911,,,,,,,,,,,,
0,,,,,,,,,,,,
Yankees Team Icon,,,,,,,,,,,,
Yankees,,,,,,,,,,,,
912,,,,,,,,,,,,
0,,,,,,,,,,,,
PPD,,,,,,,,,,,,
Astros Team Icon,120,+126FanDuel CO Logo,123,126,N/A,123,125,120,N/A,125,N/A,125
Astros,-142,-148FanDuel CO Logo,-149,-148,N/A,-149,-150,-150,N/A,-150,N/A,-150
921,,,,,,,,,,,,
3,,,,,,,,,,,,
Cubs Team Icon,,,,,,,,,,,,
Cubs,,,,,,,,,,,,
922,,,,,,,,,,,,
0,,,,,,,,,,,,
Final,,,,,,,,,,,,
Pirates Team Icon,-141,-130Fanatics CO Logo,-144,-144,N/A,-144,-140,-159,N/A,-130,N/A,-140
Pirates,120,+125BetRivers CO Logo,119,122,N/A,119,120,125,N/A,100,N/A,120
923,,,,,,,,,,,,
2,,,,,,,,,,,,
Blue Jays Team Icon,,,,,,,,,,,,
Blue Jays,,,,,,,,,,,,
924,,,,,,,,,,,,
5,,,,,,,,,,,,
Final,,,,,,,,,,,,
White Sox Team Icon,103,-103DK CO Logo,-103,-108,N/A,-103,-115,-108,N/A,-110,N/A,-115
