Date,Time (EDT),Away Team,Away Pitcher,Away Score,Home Team,Home Pitcher,Home Score,Away Win%,Home Win%,Opener Away ML,Opener Home ML,BetMGM Away,BetMGM Home,FanDuel Away,FanDuel Home,Caesars Away,Caesars Home,bet365 Away,bet365 Home,DraftKings Away,DraftKings Home,Close Away ML,Close Home ML
2026-03-29,1:35 PM EDT,TEX,M. Gore (L),8,PHI,J. Luzardo (L),3,35%,65%,+130,-155,+140,-165,+134,-158,+135,-160,+135,-160,+135,-163,,
2026-03-29,1:35 PM EDT,MIN,B. Ober (R),6,BAL,S. Baz (R),8,37%,63%,+125,-150,+130,-155,+130,-154,+140,-165,+135,-160,+135,-163,,
2026-03-29,1:35 PM EDT,KC,S. Lugo (R),4,ATL,G. Holmes (R),1,44%,56%,+120,-145,+125,-155,+128,-152,+130,-155,+125,-150,+126,-153,,
2026-03-29,1:37 PM EDT,ATH,L. Morales (R),2,TOR,E. Lauer (L),5,34%,66%,+135,-160,+135,-160,+130,-154,+130,-155,+125,-150,+129,-156,,
2026-03-29,1:40 PM EDT,PIT,C. Mlodzinski (R),4,NYM,N. McLean (R),3,30%,70%,+145,-175,+150,-180,+154,-184,+158,-190,+155,-185,+153,-186,,
2026-03-29,1:40 PM EDT,COL,J. Quintana (L),3,MIA,M. Meyer (R),4,45%,55%,+155,-190,+155,-190,+160,-190,+158,-190,+160,-190,+159,-194,,
2026-03-29,1:40 PM EDT,BOS,C. Early (L),2,CIN,R. Lowder (R),3,52%,48%,-145,+120,-140,+118,-134,+114,-135,+115,-135,+115,-130,+108,,
2026-03-29,2:10 PM EDT,CHW,A. Kay (L),7,MIL,B. Sproat (R),9,25%,75%,+140,-170,+140,-165,+140,-166,+140,-165,+140,-165,+139,-168,,
2026-03-29,2:10 PM EDT,LAA,J. Kochanowicz (R),7,HOU,T. Imai (R),9,42%,58%,+154,-185,+150,-170,+142,-168,+143,-170,+145,-170,+144,-175,,
2026-03-29,2:15 PM EDT,TB,S. Matz (L),11,STL,D. May (R),7,43%,57%,-118,-102,-115,+105,-118,+100,-120,+100,-120,+100,-122,+102,,
2026-03-29,2:20 PM EDT,WAS,J. Irvin (R),6,CHC,S. Imanaga (L),3,25%,75%,+195,-235,+200,-250,+210,-255,+210,-260,+210,-260,+197,-243,,
