team_fg,date,temp_c,pressure_hpa,rh_pct,da_ft
NYY,2021-01-01,2.8,1025.9,80.0,-1837.4
NYY,2021-01-02,3.3,1015.7,70.0,-1436.2
NYY,2021-01-03,3.8,1013.3,94.0,-1264.7
NYY,2021-01-04,3.1,1013.8,79.0,-1388.6
NYY,2021-01-05,2.7,1012.7,74.0,-1408.0
NYY,2021-01-06,2.0,1016.4,59.0,-1639.0
NYY,2021-01-07,0.1,1019.0,73.0,-1962.8
NYY,2021-01-08,0.8,1012.9,63.0,-1671.7
NYY,2021-01-09,1.8,1012.9,38.0,-1564.5
NYY,2021-01-10,-1.5,1023.9,76.0,-2337.2
NYY,2021-01-11,-1.4,1022.3,83.0,-2264.7
NYY,2021-01-12,-0.9,1017.4,81.0,-2033.4
NYY,2021-01-13,1.2,1012.5,78.0,-1593.1
NYY,2021-01-14,4.5,1008.9,79.0,-1039.1
NYY,2021-01-15,6.7,1012.6,88.0,-868.3
NYY,2021-01-16,4.3,995.8,67.0,-628.1
NYY,2021-01-17,4.0,1004.6,60.0,-977.0
NYY,2021-01-18,3.5,1008.5,68.0,-1166.7
NYY,2021-01-19,2.0,1017.8,64.0,-1682.0
NYY,2021-01-20,-0.9,1015.7,44.0,-2002.8
NYY,2021-01-21,0.6,1002.0,74.0,-1314.5
NYY,2021-01-22,3.3,1008.1,55.0,-1192.0
NYY,2021-01-23,-3.6,1019.7,45.0,-2490.2
NYY,2021-01-24,-2.0,1019.9,42.0,-2290.2
NYY,2021-01-25,-0.1,1017.8,66.0,-1953.6
NYY,2021-01-26,0.9,1011.5,95.0,-1583.7
NYY,2021-01-27,1.9,1017.7,60.0,-1695.2
NYY,2021-01-28,-4.9,1019.3,49.0,-2645.0
NYY,2021-01-29,-6.1,1020.8,41.0,-2858.6
NYY,2021-01-30,-3.0,1024.5,42.0,-2577.0
NYY,2021-01-31,-3.8,1023.3,61.0,-2629.5
NYY,2021-02-01,1.0,1003.4,87.0,-1299.4
NYY,2021-02-02,-0.2,995.1,84.0,-1172.4
NYY,2021-02-03,0.2,1001.7,69.0,-1360.4
NYY,2021-02-04,-1.0,1011.1,75.0,-1835.6
NYY,2021-02-05,2.6,1003.4,84.0,-1092.9
NYY,2021-02-06,0.2,1019.6,67.0,-1974.9
NYY,2021-02-07,-1.0,1010.8,89.0,-1815.0
NYY,2021-02-08,-7.2,1029.2,71.0,-3276.5
NYY,2021-02-09,-1.7,1019.7,87.0,-2213.0
NYY,2021-02-10,-0.6,1025.7,47.0,-2301.6
NYY,2021-02-11,-2.0,1023.5,70.0,-2393.6
NYY,2021-02-12,-3.6,1026.7,65.0,-2716.2
NYY,2021-02-13,-2.8,1022.7,73.0,-2469.8
NYY,2021-02-14,1.4,1023.0,78.0,-1924.3
NYY,2021-02-15,0.3,1020.7,88.0,-1982.3
NYY,2021-02-16,5.3,1004.9,72.0,-806.5
NYY,2021-02-17,-3.6,1029.5,55.0,-2817.2
NYY,2021-02-18,-2.3,1025.2,89.0,-2478.1
NYY,2021-02-19,-0.6,1017.0,91.0,-1972.7
NYY,2021-02-20,-1.5,1019.7,66.0,-2201.4
NYY,2021-02-21,-3.2,1031.7,63.0,-2834.0
NYY,2021-02-22,2.6,1005.9,91.0,-1172.0
NYY,2021-02-23,6.5,1003.1,62.0,-602.6
NYY,2021-02-24,6.2,1009.4,64.0,-854.0
NYY,2021-02-25,3.5,1021.2,52.0,-1615.2
NYY,2021-02-26,2.0,1030.7,69.0,-2114.1
NYY,2021-02-27,8.0,1016.8,85.0,-845.5
NYY,2021-02-28,4.8,1018.2,91.0,-1303.5
NYY,2021-03-01,5.0,1006.8,40.0,-946.6
NYY,2021-03-02,-1.6,1020.7,37.0,-2268.9
NYY,2021-03-03,5.8,1009.0,56.0,-901.3
NYY,2021-03-04,-0.5,1010.7,46.0,-1778.6
NYY,2021-03-05,-0.1,1011.1,36.0,-1748.5
NYY,2021-03-06,-0.2,1019.8,42.0,-2053.4
NYY,2021-03-07,1.4,1026.0,48.0,-2051.9
NYY,2021-03-08,1.6,1028.2,56.0,-2093.4
NYY,2021-03-09,9.4,1026.7,60.0,-1035.1
NYY,2021-03-10,5.7,1030.4,82.0,-1608.2
NYY,2021-03-11,13.6,1018.7,71.0,-208.8
NYY,2021-03-12,13.5,1015.5,34.0,-187.2
NYY,2021-03-13,6.1,1020.3,39.0,-1267.4
NYY,2021-03-14,2.5,1016.3,34.0,-1594.5
NYY,2021-03-15,-0.2,1025.6,39.0,-2252.5
NYY,2021-03-16,2.3,1022.0,62.0,-1787.6
NYY,2021-03-17,6.2,1019.6,80.0,-1181.1
NYY,2021-03-18,6.7,1008.7,95.0,-726.3
NYY,2021-03-19,3.0,1026.5,33.0,-1877.2
NYY,2021-03-20,5.8,1031.3,65.0,-1645.4
NYY,2021-03-21,7.2,1032.2,71.0,-1487.2
NYY,2021-03-22,7.2,1026.2,79.0,-1275.2
NYY,2021-03-23,11.7,1023.7,78.0,-609.1
NYY,2021-03-24,10.8,1018.0,97.0,-501.6
NYY,2021-03-25,11.2,1015.7,99.0,-367.7
NYY,2021-03-26,17.0,1006.8,49.0,575.4
NYY,2021-03-27,11.1,1019.0,67.0,-547.1
NYY,2021-03-28,18.4,995.8,85.0,1224.5
NYY,2021-03-29,8.9,1021.1,45.0,-932.4
NYY,2021-03-30,9.2,1025.5,73.0,-1001.0
NYY,2021-03-31,12.1,1012.8,92.0,-163.6
NYY,2021-04-01,7.2,1011.9,42.0,-839.7
NYY,2021-04-02,3.3,1021.6,37.0,-1669.4
NYY,2021-04-03,7.6,1022.1,49.0,-1125.2
NYY,2021-04-04,13.1,1013.5,49.0,-140.1
NYY,2021-04-05,14.4,1011.6,35.0,57.8
NYY,2021-04-06,14.1,1011.9,44.0,29.2
NYY,2021-04-07,13.8,1014.8,58.0,-77.9
NYY,2021-04-08,13.9,1017.7,65.0,-148.8
NYY,2021-04-09,10.1,1019.9,84.0,-678.6
NYY,2021-04-10,13.8,1010.1,87.0,140.6
NYY,2021-04-11,10.9,1001.6,92.0,61.2
NYY,2021-04-12,8.4,1010.4,92.0,-565.9
NYY,2021-04-13,14.2,1016.0,73.0,-36.4
NYY,2021-04-14,14.9,1012.1,80.0,201.0
NYY,2021-04-15,10.6,1002.8,95.0,-14.0
NYY,2021-04-16,7.2,1003.8,84.0,-507.9
NYY,2021-04-17,10.9,1008.0,61.0,-209.9
NYY,2021-04-18,12.6,1009.3,77.0,-7.7
NYY,2021-04-19,13.6,1009.1,69.0,112.0
NYY,2021-04-20,16.5,1011.1,70.0,418.2
NYY,2021-04-21,7.6,1004.3,55.0,-512.5
NYY,2021-04-22,7.4,1010.3,39.0,-764.0
NYY,2021-04-23,13.9,1012.2,41.0,-12.0
NYY,2021-04-24,13.1,1012.3,56.0,-85.9
NYY,2021-04-25,15.6,1005.3,60.0,476.5
NYY,2021-04-26,12.1,1016.0,37.0,-372.1
NYY,2021-04-27,12.9,1013.4,61.0,-138.8
NYY,2021-04-28,19.0,1007.0,73.0,886.9
NYY,2021-04-29,21.0,998.6,79.0,1450.9
NYY,2021-04-30,14.9,998.7,37.0,562.3
NYY,2021-05-01,15.2,1010.7,42.0,202.5
NYY,2021-05-02,23.6,1005.6,70.0,1520.0
NYY,2021-05-03,14.2,1008.6,85.0,239.5
NYY,2021-05-04,15.4,1007.6,83.0,425.3
NYY,2021-05-05,14.8,1005.2,93.0,451.0
NYY,2021-05-06,15.6,1012.1,45.0,211.7
NYY,2021-05-07,13.1,1010.1,65.0,6.2
NYY,2021-05-08,10.8,1011.3,70.0,-319.8
NYY,2021-05-09,11.1,1013.0,81.0,-320.1
NYY,2021-05-10,14.0,1013.2,59.0,3.6
NYY,2021-05-11,14.0,1016.0,50.0,-109.5
NYY,2021-05-12,15.9,1020.1,48.0,-13.5
NYY,2021-05-13,17.4,1020.6,47.0,154.9
NYY,2021-05-14,18.8,1021.5,50.0,307.9
NYY,2021-05-15,19.5,1022.1,50.0,375.6
NYY,2021-05-16,19.1,1022.8,55.0,316.1
NYY,2021-05-17,18.7,1024.2,50.0,205.0
NYY,2021-05-18,22.4,1022.7,56.0,739.9
NYY,2021-05-19,26.1,1024.3,43.0,1100.7
NYY,2021-05-20,17.0,1031.5,57.0,-234.8
NYY,2021-05-21,18.5,1027.7,59.0,87.4
NYY,2021-05-22,27.5,1016.5,47.0,1553.5
NYY,2021-05-23,28.1,1010.8,54.0,1854.2
NYY,2021-05-24,15.1,1024.7,53.0,-257.2
NYY,2021-05-25,18.5,1018.7,71.0,421.7
NYY,2021-05-26,28.0,1010.6,57.0,1862.9
NYY,2021-05-27,24.9,1012.6,37.0,1318.8
NYY,2021-05-28,12.6,1012.9,86.0,-112.9
NYY,2021-05-29,10.7,1018.4,83.0,-551.6
NYY,2021-05-30,11.1,1018.8,93.0,-496.0
NYY,2021-05-31,19.6,1021.5,58.0,431.5
NYY,2021-06-01,18.9,1022.2,70.0,352.9
NYY,2021-06-02,17.8,1021.4,72.0,243.3
NYY,2021-06-03,20.5,1013.7,94.0,920.3
NYY,2021-06-04,21.9,1011.1,85.0,1165.0
NYY,2021-06-05,28.0,1011.3,58.0,1844.3
NYY,2021-06-06,26.5,1015.5,73.0,1578.2
