season,date,home_team,away_team,home_win_pct,away_win_pct,avg_total,fd_total,ml_bet,ml_edge,ml_odds,ml_result,ou_bet,ou_edge,ou_result,actual_total,home_score,away_score
2021,2021-04-09,TOR,LAA,0.568,0.432,9.21,11.0,home,0.0826,106.0,LOSS,under,-1.79,WIN,8,1,7
2021,2021-04-09,HOU,ATH,0.7644,0.2356,9.64,9.0,home,0.1241,-178.0,LOSS,,,,8,2,6
2021,2021-04-10,TBR,NYY,0.4476,0.5524,8.69,9.5,,,,,,,,4,4,0
2021,2021-04-10,MIN,SEA,0.649,0.351,9.44,8.0,,,,,,,,7,3,4
2021,2021-04-10,STL,MIL,0.4281,0.5719,8.74,8.0,away,0.0669,-102.0,WIN,,,,14,5,9
2021,2021-04-10,SFG,COL,0.6108,0.3892,8.77,8.5,,,,,,,,7,4,3
2021,2021-04-10,HOU,ATH,0.7185,0.2815,9.65,9.0,home,0.1122,-154.0,LOSS,,,,10,3,7
2021,2021-04-10,PIT,CHC,0.3903,0.6097,8.89,8.5,,,,,,,,10,8,2
2021,2021-04-10,BAL,BOS,0.343,0.657,9.31,9.5,away,0.0918,-130.0,WIN,,,,10,4,6
2021,2021-04-10,TEX,SDP,0.3301,0.6699,8.74,9.0,away,0.0487,-164.0,WIN,,,,11,4,7
2021,2021-04-10,TOR,LAA,0.536,0.464,9.29,10.5,,,,,,,,16,15,1
2021,2021-04-10,ATL,PHI,0.5014,0.4986,8.12,8.0,away,0.0561,126.0,LOSS,,,,9,5,4
2021,2021-04-10,ARI,CIN,0.2892,0.7108,10.34,9.5,away,0.1345,-136.0,LOSS,,,,11,8,3
2021,2021-04-11,BAL,BOS,0.3234,0.6766,9.68,9.5,away,0.0864,-144.0,WIN,,,,23,9,14
2021,2021-04-11,PIT,CHC,0.4416,0.5584,9.03,8.5,,,,,,,,8,7,1
2021,2021-04-11,TBR,NYY,0.4673,0.5327,8.75,9.0,,,,,,,,12,4,8
2021,2021-04-11,MIN,SEA,0.6604,0.3396,9.21,8.5,,,,,,,,14,6,8
2021,2021-04-11,STL,MIL,0.3915,0.6085,8.92,8.5,away,0.1368,112.0,WIN,,,,12,3,9
2021,2021-04-11,TEX,SDP,0.3097,0.6903,8.66,9.0,away,0.0553,-174.0,WIN,,,,2,0,2
2021,2021-04-11,SFG,COL,0.6247,0.3753,8.42,7.5,home,0.0672,-126.0,WIN,,,,4,4,0
2021,2021-04-11,ARI,CIN,0.3052,0.6948,10.43,9.5,away,0.1535,-118.0,LOSS,,,,7,7,0
2021,2021-04-11,ATL,PHI,0.4988,0.5012,8.39,9.5,away,0.1044,152.0,WIN,,,,13,6,7
2021,2021-04-12,PIT,SDP,0.3311,0.6689,8.97,7.5,,,,,,,,8,2,6
2021,2021-04-12,TOR,NYY,0.5121,0.4879,8.8,9.0,home,0.1445,172.0,LOSS,,,,4,1,3
2021,2021-04-12,TBR,TEX,0.6239,0.3761,8.97,7.0,,,,,over,1.97,LOSS,1,1,0
2021,2021-04-12,ATL,MIA,0.6175,0.3825,8.35,8.5,home,0.0485,-132.0,LOSS,,,,8,3,5
2021,2021-04-12,MIL,CHC,0.6677,0.3323,8.41,8.5,home,0.0809,-142.0,WIN,,,,9,6,3
2021,2021-04-12,KCR,LAA,0.484,0.516,9.79,9.0,,,,,,,,13,3,10
2021,2021-04-12,HOU,DET,0.7407,0.2593,9.88,8.5,,,,,,,,8,2,6
2021,2021-04-12,ARI,ATH,0.4968,0.5032,9.65,9.5,,,,,,,,14,5,9
2021,2021-04-12,SFG,CIN,0.5342,0.4658,8.63,8.5,,,,,,,,3,0,3
2021,2021-04-13,MIN,BOS,0.4717,0.5283,10.1,9.0,away,0.0935,130.0,WIN,,,,6,2,4
2021,2021-04-13,ARI,ATH,0.4373,0.5627,9.87,8.5,,,,,,,,12,5,7
2021,2021-04-13,PIT,SDP,0.3127,0.6873,9.01,7.5,,,,,over,1.51,WIN,12,8,4
2021,2021-04-13,TOR,NYY,0.4747,0.5253,8.68,9.0,,,,,,,,10,7,3
2021,2021-04-13,TBR,TEX,0.6297,0.3703,8.48,8.0,,,,,,,,11,3,8
2021,2021-04-13,ATL,MIA,0.6202,0.3798,8.22,7.5,,,,,,,,22,8,14
2021,2021-04-13,MIL,CHC,0.721,0.279,8.58,7.5,home,0.1635,-126.0,LOSS,,,,5,2,3
2021,2021-04-13,STL,WSN,0.4815,0.5185,9.54,7.0,,,,,over,2.54,WIN,17,14,3
2021,2021-04-13,KCR,LAA,0.4369,0.5631,9.75,8.5,,,,,,,,5,3,2
2021,2021-04-13,HOU,DET,0.6941,0.3059,9.78,9.0,home,0.0512,-180.0,LOSS,,,,10,2,8
2021,2021-04-13,SFG,CIN,0.5354,0.4646,8.58,7.5,,,,,,,,13,7,6
2021,2021-04-13,LAD,COL,0.6913,0.3087,8.8,8.0,away,0.0309,260.0,LOSS,,,,7,7,0
2021,2021-04-14,TOR,NYY,0.5177,0.4823,8.78,10.5,home,0.0369,108.0,WIN,under,-1.72,WIN,9,5,4
2021,2021-04-14,STL,WSN,0.5422,0.4578,10.03,8.0,,,,,over,2.03,LOSS,6,0,6
2021,2021-04-14,MIL,CHC,0.7096,0.2904,8.34,7.5,home,0.0772,-172.0,WIN,,,,7,7,0
2021,2021-04-14,KCR,LAA,0.434,0.566,9.28,9.0,,,,,,,,7,6,1
2021,2021-04-14,MIN,BOS,0.4265,0.5735,9.88,,away,0.131,126.0,WIN,,,,5,2,3
2021,2021-04-14,SFG,CIN,0.5649,0.4351,8.71,8.5,home,0.0649,100.0,WIN,,,,3,3,0
2021,2021-04-14,PIT,SDP,0.3229,0.6771,9.04,7.5,,,,,over,1.54,LOSS,6,5,1
2021,2021-04-14,HOU,DET,0.6301,0.3699,9.54,8.0,,,,,over,1.54,WIN,10,4,6
2021,2021-04-14,TBR,TEX,0.6141,0.3859,8.49,8.0,,,,,,,,6,1,5
2021,2021-04-14,NYM,PHI,0.5229,0.4771,8.38,8.0,home,0.0375,106.0,WIN,,,,6,5,1
2021,2021-04-14,ATL,MIA,0.5607,0.4393,8.95,9.0,away,0.1268,220.0,WIN,,,,11,5,6
2021,2021-04-14,LAD,COL,0.7178,0.2822,8.93,7.5,,,,,,,,6,4,2
2021,2021-04-15,ATL,MIA,0.5507,0.4493,9.0,8.0,away,0.0395,144.0,LOSS,,,,13,7,6
2021,2021-04-15,PIT,SDP,0.3767,0.6233,8.9,7.5,,,,,,,,11,3,8
2021,2021-04-15,BAL,SEA,0.4023,0.5977,10.02,9.5,away,0.0739,-110.0,WIN,,,,6,2,4
2021,2021-04-15,MIN,BOS,0.3754,0.6246,9.4,9.0,away,0.186,128.0,LOSS,,,,7,4,3
2021,2021-04-15,WSN,ARI,0.5551,0.4449,9.96,8.5,away,0.0603,160.0,WIN,,,,17,6,11
2021,2021-04-15,TBR,TEX,0.5768,0.4232,8.27,8.0,,,,,,,,10,4,6
2021,2021-04-15,KCR,TOR,0.3505,0.6495,8.97,9.0,away,0.1397,-104.0,LOSS,,,,12,7,5
2021,2021-04-15,ATH,DET,0.582,0.418,9.43,8.5,,,,,,,,12,8,4
2021,2021-04-15,LAD,COL,0.7015,0.2985,8.55,7.5,,,,,,,,12,7,5
2021,2021-04-16,CHC,ATL,0.3562,0.6438,9.35,8.0,away,0.1438,100.0,WIN,,,,7,2,5
2021,2021-04-16,PHI,STL,0.5457,0.4543,9.3,8.0,,,,,,,,11,9,2
2021,2021-04-16,NYY,TBR,0.5052,0.4948,8.49,9.5,away,0.0781,140.0,WIN,,,,10,2,8
2021,2021-04-16,WSN,ARI,0.5043,0.4957,10.5,8.5,away,0.1226,168.0,LOSS,over,2.0,LOSS,1,1,0
2021,2021-04-16,MIA,SFG,0.3632,0.6368,8.07,8.5,away,0.0642,-134.0,LOSS,,,,5,4,1
2021,2021-04-16,TEX,BAL,0.5608,0.4392,9.11,9.0,,,,,,,,7,2,5
2021,2021-04-16,MIL,PIT,0.6633,0.3367,8.91,8.0,home,0.0731,-144.0,LOSS,,,,7,1,6
2021,2021-04-16,LAA,MIN,0.4463,0.5537,9.32,9.0,away,0.0907,116.0,LOSS,,,,13,10,3
2021,2021-04-16,ATH,DET,0.6027,0.3973,9.62,8.5,,,,,,,,3,3,0
2021,2021-04-16,SDP,LAD,0.421,0.579,8.24,7.5,,,,,,,,17,6,11
2021,2021-04-16,SEA,HOU,0.4476,0.5524,9.34,8.0,away,0.0378,-106.0,LOSS,,,,11,6,5
2021,2021-04-17,NYY,TBR,0.5074,0.4926,8.51,7.5,,,,,,,,9,3,6
2021,2021-04-17,WSN,ARI,0.5022,0.4978,10.18,8.5,,,,,over,1.68,LOSS,8,6,2
2021,2021-04-17,KCR,TOR,0.3542,0.6458,9.34,8.5,away,0.0806,-130.0,WIN,,,,6,1,5
2021,2021-04-17,CHC,ATL,0.3462,0.6538,9.34,7.5,away,0.1002,-124.0,LOSS,over,1.84,WIN,17,13,4
2021,2021-04-17,PHI,STL,0.5899,0.4101,9.34,8.5,home,0.0707,-108.0,LOSS,,,,13,4,9
2021,2021-04-17,BOS,CHW,0.5029,0.4971,8.6,9.0,,,,,,,,11,7,4
2021,2021-04-17,ATH,DET,0.6112,0.3888,9.48,9.0,home,0.046,-130.0,WIN,,,,7,7,0
2021,2021-04-17,COL,NYM,0.3844,0.6156,8.35,9.5,home,0.0767,225.0,LOSS,,,,7,3,4
2021,2021-04-17,MIA,SFG,0.3862,0.6138,8.0,7.5,away,0.1465,114.0,LOSS,,,,13,7,6
2021,2021-04-17,TEX,BAL,0.5457,0.4543,9.06,8.5,,,,,,,,7,1,6
2021,2021-04-17,MIL,PIT,0.6193,0.3807,8.91,8.0,,,,,,,,8,7,1
