season,date,home_team,away_team,home_win_pct,away_win_pct,avg_total,fd_total,ml_bet,ml_edge,ml_odds,ml_result,ou_bet,ou_edge,ou_result,actual_total,home_score,away_score
2021,2021-04-09,TOR,LAA,0.5784,0.4216,9.17,11.0,home,0.093,106.0,LOSS,under,-1.83,WIN,8,1,7
2021,2021-04-09,HOU,ATH,0.7566,0.2434,9.63,9.0,home,0.1163,-178.0,LOSS,,,,8,2,6
2021,2021-04-10,TBR,NYY,0.4399,0.5601,8.76,9.5,,,,,,,,4,4,0
2021,2021-04-10,MIN,SEA,0.6525,0.3475,9.47,8.0,,,,,,,,7,3,4
2021,2021-04-10,STL,MIL,0.431,0.569,8.63,8.0,away,0.064,-102.0,WIN,,,,14,5,9
2021,2021-04-10,SFG,COL,0.6179,0.3821,8.81,8.5,,,,,,,,7,4,3
2021,2021-04-10,HOU,ATH,0.7165,0.2835,9.63,9.0,home,0.1102,-154.0,LOSS,,,,10,3,7
2021,2021-04-10,PIT,CHC,0.3838,0.6162,8.89,8.5,,,,,,,,10,8,2
2021,2021-04-10,BAL,BOS,0.3401,0.6599,9.33,9.5,away,0.0947,-130.0,WIN,,,,10,4,6
2021,2021-04-10,TEX,SDP,0.3393,0.6607,8.75,9.0,away,0.0395,-164.0,WIN,,,,11,4,7
2021,2021-04-10,TOR,LAA,0.5226,0.4774,9.19,10.5,,,,,,,,16,15,1
2021,2021-04-10,ATL,PHI,0.495,0.505,8.15,8.0,away,0.0625,126.0,LOSS,,,,9,5,4
2021,2021-04-10,ARI,CIN,0.2882,0.7118,10.29,9.5,away,0.1355,-136.0,LOSS,,,,11,8,3
2021,2021-04-11,BAL,BOS,0.298,0.702,9.65,9.5,away,0.1118,-144.0,WIN,,,,23,9,14
2021,2021-04-11,PIT,CHC,0.4406,0.5594,9.06,8.5,,,,,,,,8,7,1
2021,2021-04-11,TBR,NYY,0.4633,0.5367,8.67,9.0,,,,,,,,12,4,8
2021,2021-04-11,MIN,SEA,0.6587,0.3413,9.26,8.5,,,,,,,,14,6,8
2021,2021-04-11,STL,MIL,0.3929,0.6071,8.88,8.5,away,0.1354,112.0,WIN,,,,12,3,9
2021,2021-04-11,TEX,SDP,0.3216,0.6784,8.72,9.0,away,0.0434,-174.0,WIN,,,,2,0,2
2021,2021-04-11,SFG,COL,0.6303,0.3697,8.45,7.5,home,0.0728,-126.0,WIN,,,,4,4,0
2021,2021-04-11,ARI,CIN,0.3071,0.6929,10.41,9.5,away,0.1516,-118.0,LOSS,,,,7,7,0
2021,2021-04-11,ATL,PHI,0.5146,0.4854,8.41,9.5,away,0.0886,152.0,WIN,,,,13,6,7
2021,2021-04-12,PIT,SDP,0.333,0.667,8.96,7.5,,,,,,,,8,2,6
2021,2021-04-12,TOR,NYY,0.5112,0.4888,8.72,9.0,home,0.1436,172.0,LOSS,,,,4,1,3
2021,2021-04-12,TBR,TEX,0.6185,0.3815,8.96,7.0,,,,,over,1.96,LOSS,1,1,0
2021,2021-04-12,ATL,MIA,0.6057,0.3943,8.31,8.5,home,0.0367,-132.0,LOSS,,,,8,3,5
2021,2021-04-12,MIL,CHC,0.6839,0.3161,8.46,8.5,home,0.0971,-142.0,WIN,,,,9,6,3
2021,2021-04-12,KCR,LAA,0.4923,0.5077,9.77,9.0,,,,,,,,13,3,10
2021,2021-04-12,HOU,DET,0.755,0.245,9.93,8.5,,,,,,,,8,2,6
2021,2021-04-12,ARI,ATH,0.4899,0.5101,9.63,9.5,,,,,,,,14,5,9
2021,2021-04-12,SFG,CIN,0.533,0.467,8.68,8.5,,,,,,,,3,0,3
2021,2021-04-13,MIN,BOS,0.4836,0.5164,10.2,9.0,away,0.0816,130.0,WIN,,,,6,2,4
2021,2021-04-13,ARI,ATH,0.4273,0.5727,9.87,8.5,,,,,,,,12,5,7
2021,2021-04-13,PIT,SDP,0.3218,0.6782,9.07,7.5,,,,,over,1.57,WIN,12,8,4
2021,2021-04-13,TOR,NYY,0.4817,0.5183,8.76,9.0,,,,,,,,10,7,3
2021,2021-04-13,TBR,TEX,0.6275,0.3725,8.42,8.0,,,,,,,,11,3,8
2021,2021-04-13,ATL,MIA,0.6042,0.3958,8.27,7.5,,,,,,,,22,8,14
2021,2021-04-13,MIL,CHC,0.7114,0.2886,8.5,7.5,home,0.1539,-126.0,LOSS,,,,5,2,3
2021,2021-04-13,STL,WSN,0.4625,0.5375,9.51,7.0,,,,,over,2.51,WIN,17,14,3
2021,2021-04-13,KCR,LAA,0.443,0.557,9.68,8.5,,,,,,,,5,3,2
2021,2021-04-13,HOU,DET,0.6974,0.3026,9.8,9.0,home,0.0545,-180.0,LOSS,,,,10,2,8
2021,2021-04-13,SFG,CIN,0.5283,0.4717,8.53,7.5,,,,,,,,13,7,6
2021,2021-04-13,LAD,COL,0.6927,0.3073,8.72,8.0,,,,,,,,7,7,0
2021,2021-04-14,TOR,NYY,0.5195,0.4805,8.92,10.5,home,0.0387,108.0,WIN,under,-1.58,WIN,9,5,4
2021,2021-04-14,STL,WSN,0.5393,0.4607,10.03,8.0,,,,,over,2.03,LOSS,6,0,6
2021,2021-04-14,MIL,CHC,0.7186,0.2814,8.41,7.5,home,0.0862,-172.0,WIN,,,,7,7,0
2021,2021-04-14,KCR,LAA,0.4414,0.5586,9.32,9.0,,,,,,,,7,6,1
2021,2021-04-14,MIN,BOS,0.4413,0.5587,9.86,,away,0.1162,126.0,WIN,,,,5,2,3
2021,2021-04-14,SFG,CIN,0.564,0.436,8.71,8.5,home,0.064,100.0,WIN,,,,3,3,0
2021,2021-04-14,PIT,SDP,0.3306,0.6694,9.13,7.5,,,,,over,1.63,LOSS,6,5,1
2021,2021-04-14,HOU,DET,0.6259,0.3741,9.54,8.0,,,,,over,1.54,WIN,10,4,6
2021,2021-04-14,TBR,TEX,0.6013,0.3987,8.49,8.0,,,,,,,,6,1,5
2021,2021-04-14,NYM,PHI,0.527,0.473,8.37,8.0,home,0.0416,106.0,WIN,,,,6,5,1
2021,2021-04-14,ATL,MIA,0.5643,0.4357,8.94,9.0,away,0.1232,220.0,WIN,,,,11,5,6
2021,2021-04-14,LAD,COL,0.7174,0.2826,8.78,7.5,,,,,,,,6,4,2
2021,2021-04-15,ATL,MIA,0.5586,0.4414,8.98,8.0,away,0.0316,144.0,LOSS,,,,13,7,6
2021,2021-04-15,PIT,SDP,0.3911,0.6089,8.98,7.5,,,,,,,,11,3,8
2021,2021-04-15,BAL,SEA,0.3958,0.6042,9.99,9.5,away,0.0804,-110.0,WIN,,,,6,2,4
2021,2021-04-15,MIN,BOS,0.3821,0.6179,9.32,9.0,away,0.1793,128.0,LOSS,,,,7,4,3
2021,2021-04-15,WSN,ARI,0.5551,0.4449,9.85,8.5,away,0.0603,160.0,WIN,,,,17,6,11
2021,2021-04-15,TBR,TEX,0.5727,0.4273,8.23,8.0,away,0.0336,154.0,WIN,,,,10,4,6
2021,2021-04-15,KCR,TOR,0.3637,0.6363,9.03,9.0,away,0.1265,-104.0,LOSS,,,,12,7,5
2021,2021-04-15,ATH,DET,0.5674,0.4326,9.46,8.5,,,,,,,,12,8,4
2021,2021-04-15,LAD,COL,0.7014,0.2986,8.51,7.5,,,,,,,,12,7,5
2021,2021-04-16,CHC,ATL,0.354,0.646,9.34,8.0,away,0.146,100.0,WIN,,,,7,2,5
2021,2021-04-16,PHI,STL,0.5505,0.4495,9.32,8.0,,,,,,,,11,9,2
2021,2021-04-16,NYY,TBR,0.5111,0.4889,8.53,9.5,away,0.0722,140.0,WIN,,,,10,2,8
2021,2021-04-16,WSN,ARI,0.5014,0.4986,10.39,8.5,away,0.1255,168.0,LOSS,over,1.89,LOSS,1,1,0
2021,2021-04-16,MIA,SFG,0.3659,0.6341,8.03,8.5,away,0.0615,-134.0,LOSS,,,,5,4,1
2021,2021-04-16,TEX,BAL,0.5719,0.4281,9.08,9.0,,,,,,,,7,2,5
2021,2021-04-16,MIL,PIT,0.6559,0.3441,8.89,8.0,home,0.0657,-144.0,LOSS,,,,7,1,6
2021,2021-04-16,LAA,MIN,0.4478,0.5522,9.39,9.0,away,0.0892,116.0,LOSS,,,,13,10,3
2021,2021-04-16,ATH,DET,0.6158,0.3842,9.61,8.5,,,,,,,,3,3,0
2021,2021-04-16,SDP,LAD,0.4291,0.5709,8.22,7.5,,,,,,,,17,6,11
2021,2021-04-16,SEA,HOU,0.4432,0.5568,9.42,8.0,away,0.0422,-106.0,LOSS,,,,11,6,5
2021,2021-04-17,NYY,TBR,0.4934,0.5066,8.51,7.5,,,,,,,,9,3,6
2021,2021-04-17,WSN,ARI,0.5072,0.4928,10.23,8.5,,,,,over,1.73,LOSS,8,6,2
2021,2021-04-17,KCR,TOR,0.356,0.644,9.35,8.5,away,0.0788,-130.0,WIN,,,,6,1,5
2021,2021-04-17,CHC,ATL,0.3522,0.6478,9.31,7.5,away,0.0942,-124.0,LOSS,over,1.81,WIN,17,13,4
2021,2021-04-17,PHI,STL,0.5851,0.4149,9.4,8.5,home,0.0659,-108.0,LOSS,,,,13,4,9
2021,2021-04-17,BOS,CHW,0.492,0.508,8.67,9.0,,,,,,,,11,7,4
2021,2021-04-17,ATH,DET,0.6209,0.3791,9.38,9.0,home,0.0557,-130.0,WIN,,,,7,7,0
2021,2021-04-17,COL,NYM,0.3934,0.6066,8.4,9.5,home,0.0857,225.0,LOSS,,,,7,3,4
2021,2021-04-17,MIA,SFG,0.3833,0.6167,7.97,7.5,away,0.1494,114.0,LOSS,,,,13,7,6
2021,2021-04-17,TEX,BAL,0.5375,0.4625,9.12,8.5,,,,,,,,7,1,6
2021,2021-04-17,MIL,PIT,0.6282,0.3718,8.92,8.0,home,0.038,-144.0,WIN,,,,8,7,1
2021,2021-04-17,SDP,LAD,0.3715,0.6285,8.79,7.0,away,0.0749,-124.0,WIN,over,1.79,LOSS,2,0,2
2021,2021-04-17,SEA,HOU,0.4672,0.5328,9.5,8.5,,,,,,,,1,0,1
2021,2021-04-18,NYY,TBR,0.4958,0.5042,8.47,7.5,away,0.1686,198.0,WIN,,,,6,2,4
2021,2021-04-18,PHI,STL,0.5923,0.4077,9.66,8.0,,,,,over,1.66,LOSS,2,2,0
