ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit
0.07,0.1,True,0.7,0.65,1.3,0.125,0.25,0.0,0.25,0.37499999999999994,0.11111111111111112,0.22222222222222224,0.3333333333333333,0.22222222222222224,0.11111111111111112,0.30000000000000004,238,0.584,3.8435,914.74
0.06,0.08,True,0.6,0.65,1.6,0.14285714285714288,0.28571428571428575,0.0,0.28571428571428575,0.28571428571428575,0.2,0.3,0.1,0.2,0.2,0.4,322,0.5932,3.7466,1206.41
0.05,0.08,False,0.5,0.7,1.4,0.22222222222222227,0.22222222222222227,0.0,0.33333333333333337,0.22222222222222227,0.25,0.16666666666666669,0.25,0.08333333333333334,0.25,0.5,1332,0.4895,2.3765,3165.45
0.04,0.08,True,0.5,0.6,1.6,0.125,0.37499999999999994,0.0,0.125,0.37499999999999994,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5,689,0.5791,0.9542,657.42
0.07,0.15,False,0.8,0.7,1.6,0.125,0.37499999999999994,0.0,0.25,0.25,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.19999999999999996,1884,0.4384,0.8916,1679.82
0.03,0.15,True,0.5,0.7,1.3,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.4999999999999999,0.125,0.125,0.125,0.25,0.37499999999999994,0.5,1211,0.5706,0.6042,731.69
0.07,0.1,False,0.7,0.7,1.4,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.20000000000000004,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.30000000000000004,1105,0.4769,0.4298,474.94
0.06,0.1,False,0.5,0.6,1.5,0.125,0.25,0.0,0.37499999999999994,0.25,0.1,0.3,0.1,0.2,0.3,0.5,1481,0.4369,-0.3617,-535.64
0.07,0.15,False,0.6,0.7,1.3,0.14285714285714285,0.4285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.125,0.125,0.25,0.25,0.25,0.4,1908,0.4366,-0.386,-736.54
0.05,0.2,False,0.6,0.65,1.5,0.25,0.25,0.0,0.25,0.25,0.1,0.2,0.1,0.3,0.3,0.4,3418,0.4538,-0.473,-1616.82
0.04,0.1,True,0.7,0.7,1.6,0.375,0.375,0.0,0.12500000000000003,0.12500000000000003,0.125,0.25,0.125,0.125,0.37499999999999994,0.30000000000000004,1259,0.5902,-0.4877,-614.07
0.06,0.2,True,0.5,0.7,1.4,0.1,0.3,0.0,0.3,0.3,0.1,0.3,0.1,0.2,0.3,0.5,557,0.5566,-0.5571,-310.31
0.03,0.08,False,0.6,0.6,1.4,0.33333333333333337,0.11111111111111113,0.0,0.33333333333333337,0.22222222222222227,0.2,0.2,0.2,0.2,0.2,0.4,2450,0.4898,-0.6747,-1653.05
0.05,0.08,False,0.8,0.6,1.6,0.12500000000000003,0.375,0.0,0.375,0.12500000000000003,0.25,0.08333333333333334,0.25,0.16666666666666669,0.25,0.19999999999999996,1353,0.4693,-0.7222,-977.08
0.03,0.2,False,0.5,0.6,1.5,0.125,0.37499999999999994,0.0,0.125,0.37499999999999994,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.15384615384615385,0.23076923076923075,0.5,4414,0.4468,-0.7541,-3328.53
0.03,0.08,False,0.6,0.6,1.6,0.14285714285714288,0.4285714285714286,0.0,0.14285714285714288,0.28571428571428575,0.08333333333333333,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.4,2574,0.46,-0.8335,-2145.43
0.06,0.15,False,0.7,0.65,1.3,0.125,0.25,0.0,0.37499999999999994,0.25,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.30000000000000004,2456,0.4414,-0.8762,-2151.82
0.03,0.1,True,0.5,0.7,1.4,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.16666666666666669,0.16666666666666669,0.25,0.16666666666666669,0.25,0.5,1372,0.5787,-0.9298,-1275.66
0.03,0.08,False,0.8,0.6,1.5,0.37499999999999994,0.125,0.0,0.25,0.25,0.375,0.25000000000000006,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.19999999999999996,2093,0.5079,-0.9401,-1967.56
0.05,0.1,False,0.7,0.7,1.3,0.30000000000000004,0.30000000000000004,0.0,0.30000000000000004,0.10000000000000002,0.125,0.25,0.125,0.125,0.37499999999999994,0.30000000000000004,2036,0.4808,-0.9449,-1923.85
0.06,0.08,False,0.7,0.65,1.3,0.18181818181818182,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.22222222222222227,0.22222222222222227,0.11111111111111113,0.11111111111111113,0.33333333333333337,0.30000000000000004,918,0.4673,-0.9463,-868.68
0.05,0.15,False,0.6,0.7,1.6,0.2,0.2,0.0,0.2,0.4,0.10000000000000002,0.30000000000000004,0.30000000000000004,0.20000000000000004,0.10000000000000002,0.4,2982,0.441,-0.9714,-2896.7
0.06,0.1,True,0.7,0.6,1.3,0.27272727272727276,0.27272727272727276,0.0,0.27272727272727276,0.18181818181818185,0.1,0.1,0.3,0.2,0.3,0.30000000000000004,570,0.5684,-1.0325,-588.53
0.06,0.2,False,0.5,0.65,1.3,0.25,0.125,0.0,0.37499999999999994,0.25,0.14285714285714288,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.28571428571428575,0.5,2969,0.4463,-1.1508,-3416.59
0.05,0.08,True,0.6,0.6,1.3,0.375,0.375,0.0,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.25000000000000006,0.12500000000000003,0.375,0.12500000000000003,0.4,667,0.5892,-1.1899,-793.67
0.04,0.15,True,0.7,0.7,1.5,0.2,0.4,0.0,0.2,0.2,0.2,0.1,0.3,0.1,0.3,0.30000000000000004,1386,0.5693,-1.383,-1916.85
0.06,0.2,False,0.6,0.7,1.5,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.2,0.1,0.1,0.3,0.3,0.4,2928,0.4368,-1.4496,-4244.56
0.03,0.15,True,0.5,0.6,1.5,0.2727272727272727,0.2727272727272727,0.0,0.18181818181818182,0.2727272727272727,0.23076923076923075,0.15384615384615385,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.5,1782,0.5746,-1.5469,-2756.56
0.06,0.15,True,0.6,0.65,1.3,0.30000000000000004,0.30000000000000004,0.0,0.30000000000000004,0.10000000000000002,0.25,0.08333333333333334,0.25,0.16666666666666669,0.25,0.4,1121,0.5736,-1.6215,-1817.67
