ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit,run_date,seed,n_trials,run_time_mins
0.06,0.08,False,0.5,0.65,1.5,0.25000000000000006,0.375,0.0,0.25000000000000006,0.12500000000000003,0.2,0.3,0.1,0.1,0.3,0.5,858,0.5035,5.1807,4445.06,2026-05-17,58703,100,93.7
0.03,0.08,True,0.6,0.65,1.5,0.22222222222222227,0.33333333333333337,0.0,0.22222222222222227,0.22222222222222227,0.25,0.25,0.16666666666666669,0.08333333333333334,0.25,0.4,1077,0.6007,2.3378,2517.86,2026-05-17,58703,100,93.7
0.03,0.08,True,0.6,0.7,1.5,0.1111111111111111,0.2222222222222222,0.0,0.33333333333333326,0.33333333333333326,0.11111111111111112,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.11111111111111112,0.4,762,0.5722,1.4694,1119.69,2026-05-17,58703,100,93.7
0.03,0.08,True,0.6,0.6,1.6,0.25000000000000006,0.375,0.0,0.25000000000000006,0.12500000000000003,0.25,0.25,0.08333333333333334,0.16666666666666669,0.25,0.4,1154,0.5997,1.3278,1532.33,2026-05-17,58703,100,93.7
0.07,0.08,False,0.6,0.6,1.5,0.14285714285714288,0.4285714285714286,0.0,0.14285714285714288,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.4285714285714286,0.4,401,0.4638,1.0833,434.41,2026-05-17,58703,100,93.7
0.06,0.08,False,0.6,0.65,1.3,0.25,0.37499999999999994,0.0,0.125,0.25,0.08333333333333334,0.25,0.25,0.25,0.16666666666666669,0.4,856,0.4766,0.9447,808.68,2026-05-17,58703,100,93.7
0.05,0.08,False,0.6,0.65,1.5,0.2,0.3,0.0,0.3,0.2,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.08333333333333333,0.4,1368,0.4708,0.7231,989.16,2026-05-17,58703,100,93.7
0.06,0.15,True,0.5,0.6,1.6,0.1,0.3,0.0,0.3,0.3,0.25,0.08333333333333334,0.25,0.25,0.16666666666666669,0.5,695,0.5669,0.475,330.13,2026-05-17,58703,100,93.7
0.05,0.2,False,0.6,0.7,1.4,0.11111111111111113,0.33333333333333337,0.0,0.33333333333333337,0.22222222222222227,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.33333333333333326,0.33333333333333326,0.4,3178,0.4349,0.4477,1422.71,2026-05-17,58703,100,93.7
0.07,0.2,True,0.8,0.65,1.3,0.2,0.3,0.0,0.2,0.3,0.11111111111111113,0.33333333333333337,0.11111111111111113,0.11111111111111113,0.33333333333333337,0.19999999999999996,728,0.5701,0.2919,212.49,2026-05-17,58703,100,93.7
0.06,0.2,False,0.7,0.7,1.6,0.1,0.3,0.0,0.3,0.3,0.11111111111111113,0.22222222222222227,0.22222222222222227,0.11111111111111113,0.33333333333333337,0.30000000000000004,2768,0.4292,0.1652,457.2,2026-05-17,58703,100,93.7
0.03,0.08,True,0.5,0.6,1.6,0.25,0.25,0.0,0.25,0.25,0.1,0.3,0.2,0.1,0.3,0.5,1031,0.5771,-0.2162,-222.91,2026-05-17,58703,100,93.7
0.03,0.08,False,0.6,0.7,1.3,0.22222222222222227,0.22222222222222227,0.0,0.33333333333333337,0.22222222222222227,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.4,2516,0.4769,-0.2234,-561.96,2026-05-17,58703,100,93.7
0.05,0.2,True,0.8,0.65,1.5,0.25000000000000006,0.25000000000000006,0.0,0.375,0.12500000000000003,0.1,0.2,0.2,0.3,0.2,0.19999999999999996,1134,0.5705,-0.2789,-316.24,2026-05-17,58703,100,93.7
0.03,0.08,True,0.6,0.7,1.6,0.3,0.3,0.0,0.1,0.3,0.2,0.1,0.2,0.2,0.3,0.4,1143,0.5897,-0.2875,-328.64,2026-05-17,58703,100,93.7
0.07,0.15,False,0.7,0.65,1.5,0.16666666666666669,0.5,0.0,0.16666666666666669,0.16666666666666669,0.10000000000000002,0.30000000000000004,0.30000000000000004,0.20000000000000004,0.10000000000000002,0.30000000000000004,1917,0.4455,-0.5581,-1069.9,2026-05-17,58703,100,93.7
0.04,0.08,False,0.5,0.65,1.4,0.1,0.3,0.0,0.3,0.3,0.25000000000000006,0.12500000000000003,0.25000000000000006,0.25000000000000006,0.12500000000000003,0.5,1915,0.4601,-0.6562,-1256.62,2026-05-17,58703,100,93.7
0.07,0.1,False,0.5,0.65,1.6,0.125,0.25,0.0,0.25,0.37499999999999994,0.125,0.125,0.37499999999999994,0.125,0.25,0.5,990,0.4303,-0.8779,-869.09,2026-05-17,58703,100,93.7
0.03,0.1,False,0.7,0.6,1.3,0.1,0.3,0.0,0.3,0.3,0.1,0.2,0.2,0.2,0.3,0.30000000000000004,3233,0.4479,-0.8797,-2844.13,2026-05-17,58703,100,93.7
0.05,0.15,True,0.5,0.65,1.5,0.16666666666666669,0.16666666666666669,0.0,0.5,0.16666666666666669,0.15384615384615385,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.23076923076923075,0.5,781,0.5595,-1.0106,-789.27,2026-05-17,58703,100,93.7
0.06,0.08,False,0.6,0.65,1.5,0.3333333333333333,0.3333333333333333,0.0,0.22222222222222224,0.11111111111111112,0.11111111111111113,0.11111111111111113,0.22222222222222227,0.33333333333333337,0.22222222222222227,0.4,866,0.4815,-1.0686,-925.38,2026-05-17,58703,100,93.7
0.04,0.08,False,0.6,0.7,1.4,0.4285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.25,0.25,0.25,0.125,0.125,0.4,1849,0.5019,-1.1594,-2143.77,2026-05-17,58703,100,93.7
0.05,0.1,True,0.8,0.6,1.5,0.22222222222222227,0.22222222222222227,0.0,0.33333333333333337,0.22222222222222227,0.16666666666666669,0.25,0.25,0.16666666666666669,0.16666666666666669,0.19999999999999996,803,0.5729,-1.1767,-944.91,2026-05-17,58703,100,93.7
0.03,0.2,False,0.8,0.6,1.4,0.16666666666666669,0.16666666666666669,0.0,0.5,0.16666666666666669,0.12500000000000003,0.12500000000000003,0.25000000000000006,0.375,0.12500000000000003,0.19999999999999996,4553,0.4432,-1.3744,-6257.83,2026-05-17,58703,100,93.7
0.04,0.2,True,0.6,0.65,1.5,0.2,0.3,0.0,0.3,0.2,0.09999999999999998,0.19999999999999996,0.29999999999999993,0.29999999999999993,0.09999999999999998,0.4,1102,0.5608,-1.4077,-1551.31,2026-05-17,58703,100,93.7
0.05,0.2,True,0.7,0.6,1.3,0.1111111111111111,0.33333333333333326,0.0,0.2222222222222222,0.33333333333333326,0.11111111111111113,0.33333333333333337,0.11111111111111113,0.22222222222222227,0.22222222222222227,0.30000000000000004,778,0.5553,-1.5336,-1193.14,2026-05-17,58703,100,93.7
0.05,0.15,True,0.5,0.7,1.6,0.14285714285714288,0.4285714285714286,0.0,0.14285714285714288,0.28571428571428575,0.27272727272727276,0.09090909090909093,0.27272727272727276,0.09090909090909093,0.27272727272727276,0.5,1106,0.566,-1.6421,-1816.15,2026-05-17,58703,100,93.7
0.03,0.2,True,0.6,0.6,1.3,0.14285714285714288,0.14285714285714288,0.0,0.4285714285714286,0.28571428571428575,0.2,0.3,0.1,0.1,0.3,0.4,1485,0.5616,-1.7023,-2527.87,2026-05-17,58703,100,93.7
0.05,0.08,True,0.5,0.6,1.5,0.16666666666666669,0.5,0.0,0.16666666666666669,0.16666666666666669,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4285714285714285,0.14285714285714285,0.5,490,0.5653,-1.7737,-869.13,2026-05-17,58703,100,93.7
0.06,1.0,True,0.7,0.65,1.5,0.1,0.3,0.0,0.3,0.3,0.22222222222222224,0.11111111111111112,0.22222222222222224,0.3333333333333333,0.11111111111111112,0.30000000000000004,780,0.5538,-1.7974,-1402.0,2026-05-17,58703,100,93.7
0.04,0.15,True,0.5,0.6,1.6,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.25000000000000006,0.375,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.5,1552,0.5715,-1.8296,-2839.48,2026-05-17,58703,100,93.7
0.04,0.08,False,0.7,0.6,1.3,0.22222222222222224,0.3333333333333333,0.0,0.3333333333333333,0.11111111111111112,0.25,0.25,0.25,0.125,0.125,0.30000000000000004,1878,0.4787,-1.8674,-3506.99,2026-05-17,58703,100,93.7
0.05,0.2,True,0.7,0.7,1.3,0.3,0.3,0.0,0.2,0.2,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.15384615384615385,0.23076923076923075,0.30000000000000004,1438,0.5702,-1.9084,-2744.33,2026-05-17,58703,100,93.7
0.07,0.2,False,0.7,0.65,1.5,0.1111111111111111,0.2222222222222222,0.0,0.33333333333333326,0.33333333333333326,0.25,0.25,0.25,0.08333333333333334,0.16666666666666669,0.30000000000000004,2621,0.4372,-1.942,-5089.93,2026-05-17,58703,100,93.7
0.06,1.0,True,0.8,0.65,1.5,0.14285714285714288,0.14285714285714288,0.0,0.4285714285714286,0.28571428571428575,0.09999999999999998,0.19999999999999996,0.29999999999999993,0.29999999999999993,0.09999999999999998,0.19999999999999996,552,0.5489,-1.9696,-1087.21,2026-05-17,58703,100,93.7
0.05,0.1,True,0.6,0.6,1.6,0.28571428571428575,0.14285714285714288,0.0,0.14285714285714288,0.4285714285714286,0.33333333333333337,0.11111111111111113,0.33333333333333337,0.11111111111111113,0.11111111111111113,0.4,910,0.578,-2.0041,-1823.71,2026-05-17,58703,100,93.7
