Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"LAD",162,2326,6247,212,847,812,98,0.097166639,0.219945573,0.185124864,0.302028549,0.256605139,0.333386735,0.441730003,0.33656048353078666,0.33367866721265965,119.13644853158553,9.03163862368092,147.86007758819068,-8.115937948226929,37.21276163849876
"NYY",162,2342,6172,254,807,764,102,0.100453661,0.22537265,0.184987089,0.276060764,0.241239395,0.324719648,0.426226484,0.3271561705912175,0.3331314773772786,113.97707802617317,-6.152401009341702,90.8061462732009,38.92109980992973,34.14452289479736
"TOR",162,2445,6158,200,775,756,67,0.081195193,0.20168886,0.16759676,0.304872165,0.263546354,0.328666775,0.431143114,0.3313472821020185,0.3290466342603402,117.92815172644045,-3.031366705428809,121.20322777663165,3.3154599564149976,33.551089277652615
"STL",162,2355,6165,197,772,739,95,0.087104622,0.198864557,0.16794032,0.288732394,0.252183406,0.325267944,0.420123726,0.3259408037042315,0.32110127520252213,111.60946249586341,3.545520090672653,86.68802274179583,2.863270464236848,31.646826713871018
"NYM",162,2340,6176,171,772,735,62,0.08257772,0.197053108,0.152851157,0.301809408,0.259063581,0.332087733,0.411914738,0.32574238287099616,0.32391038162001945,113.47494939755123,-8.10608090821188,88.48729511330703,-4.3355618277564645,31.119582248374897
"HOU",162,2279,6054,214,737,715,83,0.087215064,0.194747274,0.176002958,0.277723016,0.247920133,0.319423745,0.423923091,0.3239584056825421,0.32771366055456697,113.02522509987489,-5.55960024241358,83.13989393529104,16.54204996585031,30.59749228587113
"ATL",162,2259,6082,243,789,753,87,0.077277211,0.246300559,0.190415683,0.302576235,0.253040479,0.317382009,0.443456162,0.33017858544618733,0.3335690591521241,111.83532295468123,0.675538401119411,84.30761775538728,-14.593693496892229,29.264498374774202
"SEA",162,2383,6117,197,690,663,83,0.097433382,0.228379924,0.159627907,0.27156299,0.229953488,0.314660114,0.389581395,0.3103639398568093,0.3195304335187077,108.18624903483115,1.9175821679236833,58.15602079793277,-20.05841615970712,24.340853331653662
"MIL",162,2363,6122,219,725,703,96,0.094250245,0.239137536,0.173896991,0.278971095,0.234631714,0.315496645,0.408528705,0.3168525391607507,0.3176299395570636,103.53883439417015,1.7329689050911838,26.903937666394636,-6.665890293195844,24.21403737782362
"CLE",162,2338,6163,127,698,662,119,0.073016388,0.182054194,0.128823317,0.294198578,0.253688377,0.3160723,0.382511694,0.3056406451384617,0.3018558206582508,99.82942227217553,23.199190167384586,21.69048843042878,2.2955881264060736,23.012157126403128
"PHI",162,2327,6077,205,747,719,105,0.078657232,0.2242883,0.168850072,0.298841893,0.253275109,0.316639209,0.422125181,0.3216073669351693,0.325054968001333,106.5941493937309,2.801330947811948,49.32831158912124,-43.856032743133255,22.501318473160907
"SDP",162,2323,6175,153,705,682,49,0.092955465,0.214898785,0.140819313,0.288547347,0.240855888,0.31789371,0.381675201,0.30807694356580373,0.30945572617002837,101.6823923912034,-8.181205119937658,3.7625715636124237,-17.59886953420937,20.827587176433443
"MIN",162,2422,6113,178,696,668,38,0.084737444,0.221331588,0.153214025,0.295164119,0.247626004,0.317273025,0.400840029,0.3149458462920727,0.32694161022572144,105.66639714787142,-12.787704065442085,26.191121455120104,-24.051970325410366,20.552045363506533
