Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"NYY",36,25,11,10,150,36,319.2,8.812305474097855,2.899896050581722,0.7883212564688176,0.27485380116959063,0.76360445,0.475315729,0.091503267,95.53759590492417,2.984359042346238,3.4604345452987375,3.4321991806322445,3.6565299424272446,6.498593531548977
"LAD",36,22,14,8,142,36,316,9.085443531525236,2.9905064915678676,0.9398734687784728,0.26044226044226043,0.77861163,0.410011918,0.095652173,95.39070317455972,3.1898735910057257,3.6886046691942767,3.6317411554679158,3.8287122434042136,5.582095755264163
"PHI",36,16,20,7,162,36,319.1,9.638831655732973,3.1565764486610908,0.9300627036233571,0.3458149779735683,0.69892473,0.457663451,0.103448275,95.22713022599889,4.509394926658701,3.6147370078747283,3.538971412924678,3.617953650866311,5.362084166146815
"PIT",36,19,17,5,159,36,327.1,9.183300147066788,3.7942976655545415,0.7698574973588925,0.28045977011494255,0.69522832,0.414221218,0.080924855,96.17182526081064,3.8767823974144227,3.743316233669289,3.6545826983457523,4.047658350209855,4.743434743024409
"NYM",35,13,22,4,137,35,315,9.514286607236363,3.400000319102484,0.8571429375888614,0.29236276849642007,0.70054945,0.441588785,0.102739726,93.94740719265408,3.9142860816558005,3.667043751574877,3.5158279631305485,3.5976583387769328,4.729041112586856
"TOR",36,16,20,7,172,36,317.2,9.349424079721247,3.201469457601518,1.0766003485739617,0.3062645011600928,0.69742489,0.41723356,0.114803625,93.63027820424136,4.27806980617548,3.7052054303389745,3.792877929374895,3.7214457087986794,4.72105488460511
"MIL",34,18,16,10,148,34,301.1,9.497788462292853,3.643805636477132,0.8362832608308172,0.2971938775510204,0.7356257,0.40875,0.088888888,95.8108324087086,3.643805636477132,3.6818821823261234,3.5658595716258255,3.8463665324090432,4.505107232835144
"SEA",37,17,20,10,153,37,330.1,8.337033861308834,2.47931399143498,1.0080727217922447,0.3076086956521739,0.74763903,0.412012644,0.100271002,95.75335153798893,3.705348382803926,4.104892112670691,3.774066402285846,3.908525372340697,4.3286567844916135
"DET",37,18,19,8,146,37,320.1,8.653486785122773,3.5681585120473773,0.8990635620906777,0.29642058165548096,0.7197355,0.444078947,0.095522388,94.73333776248909,3.933403084146715,3.8252858492721384,3.84054926776642,4.030988215078171,4.0247480645775795
"TBR",35,23,12,15,147,35,315.1,7.820296629553187,3.253700057551326,1.0845666858504421,0.2542182227221597,0.72634117,0.402197802,0.101604278,94.68113701028497,3.6818184861765006,4.382001984488193,4.124314871250774,4.246521240320563,3.941743691917509
