player_id,player_name,game_date,game_pk,pa,woba,xwoba,so,bb,hrs,k_percent,bb_percent,hardhit_percent,swing_miss_percent,pitcher_run_value_per_100,obp
573186,"Stroman, Marcus",2024-03-30,746410,25.0,0.255,0.325,4.0,2.0,0.0,16.0,8.0,23.52941176470588,29.5,0.865346535,0.28
668881,"Greene, Hunter",2024-03-30,746736,22.0,0.343,0.32,7.0,4.0,0.0,31.8,18.2,27.27272727272727,36.2,-0.706,0.409
669923,"Kirby, George",2024-03-29,745276,24.0,0.131,0.224,8.0,2.0,0.0,33.3,8.3,21.428571428571427,34.7,3.961616162,0.167
663903,"Singer, Brady",2024-03-31,746332,27.0,0.218,0.228,10.0,1.0,0.0,37.0,3.7,14.285714285714285,42.2,2.685714286,0.222
657277,"Webb, Logan",2024-03-28,745445,24.0,0.222,0.274,5.0,2.0,0.0,20.8,8.3,23.52941176470588,26.7,1.644329897,0.292
669432,"Rogers, Trevor",2024-03-31,746090,26.0,0.371,0.286,6.0,4.0,0.0,23.1,15.4,18.75,30.2,-0.96185567,0.423
666142,"Ragans, Cole",2024-03-28,746335,26.0,0.293,0.335,9.0,3.0,1.0,34.6,11.5,64.28571428571429,37.3,-0.813402062,0.308
607200,"Fedde, Erick",2024-03-31,746815,20.0,0.372,0.33,7.0,1.0,2.0,35.0,5.0,33.33333333333333,28.2,0.025,0.3
656288,"Canning, Griffin",2024-03-30,747063,23.0,0.398,0.389,2.0,1.0,1.0,8.7,4.3,45.0,17.8,-1.363541667,0.348
605135,"Bassitt, Chris",2024-03-29,745117,24.0,0.357,0.312,6.0,2.0,1.0,25.0,8.3,53.333333333333336,23.8,-0.992631579,0.375
677960,"Weathers, Ryan",2024-03-30,746087,22.0,0.41,0.312,5.0,2.0,0.0,22.7,9.1,35.714285714285715,29.5,-1.55212766,0.455
641585,"France, J.P.",2024-03-31,746413,24.0,0.28,0.268,5.0,1.0,0.0,20.8,4.2,27.77777777777778,34.2,0.519148936,0.292
676272,"Miller, Bobby",2024-03-29,746167,21.0,0.117,0.144,11.0,1.0,0.0,52.4,4.8,33.33333333333333,22.0,3.882795699,0.143
642547,"Peralta, Freddy",2024-03-29,745848,19.0,0.144,0.188,8.0,1.0,1.0,42.1,5.3,30.0,29.5,2.568478261,0.105
641793,"Littell, Zack",2024-03-30,745119,22.0,0.223,0.224,6.0,2.0,0.0,27.3,9.1,14.285714285714285,22.9,1.822826087,0.273
548389,"Stripling, Ross",2024-03-29,745682,24.0,0.394,0.297,6.0,2.0,1.0,25.0,8.3,31.25,20.9,-2.551086957,0.375
621244,"Berríos, José",2024-03-28,745116,23.0,0.343,0.302,6.0,1.0,1.0,26.1,4.3,46.66666666666666,23.3,0.642857143,0.304
669302,"Gilbert, Logan",2024-03-30,745278,26.0,0.176,0.201,8.0,1.0,0.0,30.8,3.8,29.411764705882355,30.2,3.996703297,0.192
596295,"Gomber, Austin",2024-03-30,747221,22.0,0.458,0.402,3.0,3.0,2.0,13.6,13.6,37.5,22.0,-3.368131868,0.409
622491,"Castillo, Luis",2024-03-28,745283,23.0,0.373,0.338,5.0,2.0,1.0,21.7,8.7,43.75,14.6,-2.485714286,0.348
682243,"Miller, Bryce",2024-03-31,745279,22.0,0.409,0.429,6.0,2.0,2.0,27.3,9.1,64.28571428571429,38.1,-1.893406593,0.364
664299,"Javier, Cristian",2024-03-29,746412,23.0,0.2,0.186,6.0,1.0,0.0,26.1,4.3,12.5,22.2,2.82,0.217
607259,"Martinez, Nick",2024-03-31,746739,23.0,0.358,0.334,3.0,1.0,1.0,13.0,4.3,44.44444444444444,19.6,-0.683333333,0.364
675911,"Strider, Spencer",2024-03-29,745604,20.0,0.26,0.279,8.0,2.0,1.0,40.0,10.0,40.0,39.1,0.978888889,0.25
668678,"Gallen, Zac",2024-03-28,747224,21.0,0.261,0.404,3.0,2.0,0.0,14.3,9.5,60.0,38.5,1.027777778,0.286
579328,"Kikuchi, Yusei",2024-03-30,745119,22.0,0.388,0.357,4.0,3.0,1.0,18.2,13.6,33.33333333333333,24.4,-1.861111111,0.409
683003,"Jones, Jared",2024-03-30,746087,23.0,0.191,0.273,10.0,2.0,0.0,43.5,8.7,63.63636363636363,45.8,1.711235955,0.217
554430,"Wheeler, Zack",2024-03-29,745604,23.0,0.208,0.191,5.0,0.0,0.0,21.7,0.0,44.44444444444444,34.0,1.923595506,0.217
650633,"King, Michael",2024-03-31,745438,21.0,0.369,0.443,6.0,7.0,1.0,28.6,33.3,50.0,15.4,-1.235227273,0.429
543135,"Eovaldi, Nathan",2024-03-28,745039,22.0,0.29,0.344,3.0,1.0,0.0,13.6,4.5,47.05882352941176,13.6,0.596590909,0.273
672282,"Detmers, Reid",2024-03-31,747062,21.0,0.217,0.261,7.0,3.0,0.0,33.3,14.3,30.0,43.6,1.659090909,0.286
615698,"Quantrill, Cal",2024-03-29,747223,24.0,0.472,0.402,1.0,1.0,2.0,4.2,4.2,45.45454545454545,10.0,-6.405681818,0.417
676440,"Bibee, Tanner",2024-03-30,745684,22.0,0.414,0.449,4.0,5.0,0.0,18.2,22.7,46.15384615384615,31.6,-1.859090909,0.5
686613,"Brown, Hunter",2024-03-30,746410,18.0,0.273,0.288,5.0,2.0,0.0,27.8,11.1,54.54545454545454,18.2,0.038636364,0.333
621112,"Blackburn, Paul",2024-03-31,745683,25.0,0.133,0.231,3.0,1.0,0.0,12.0,4.0,28.57142857142857,22.5,4.610227273,0.16
622663,"Severino, Luis",2024-03-30,745850,27.0,0.416,0.334,6.0,0.0,1.0,22.2,0.0,38.095238095238095,13.7,-2.95,0.407
656427,"Flaherty, Jack",2024-03-31,746815,23.0,0.252,0.263,7.0,0.0,1.0,30.4,0.0,33.33333333333333,31.7,1.966666667,0.217
607074,"Rodón, Carlos",2024-03-29,746412,21.0,0.326,0.379,4.0,3.0,0.0,19.0,14.3,42.85714285714285,22.9,0.024137931,0.381
668868,"Thompson, Zack",2024-03-29,746167,23.0,0.458,0.326,4.0,2.0,3.0,17.4,8.7,35.294117647058826,23.3,-2.708045977,0.348
676979,"Crochet, Garrett",2024-03-28,746821,23.0,0.192,0.2,8.0,0.0,0.0,34.8,0.0,40.0,25.0,2.966666667,0.217
694297,"Pfaadt, Brandon",2024-03-31,747222,21.0,0.279,0.222,6.0,0.0,0.0,28.6,0.0,23.07692307692308,17.4,0.879310345,0.333
663372,"Feltner, Ryan",2024-03-31,747222,22.0,0.366,0.369,4.0,2.0,1.0,18.2,9.1,40.0,27.1,-2.737209302,0.364
664285,"Valdez, Framber",2024-03-28,746418,23.0,0.403,0.384,5.0,6.0,0.0,21.7,26.1,36.36363636363637,32.1,-2.270930233,0.522
607625,"Lugo, Seth",2024-03-30,746333,22.0,0.144,0.288,4.0,1.0,0.0,18.2,4.5,37.5,29.3,2.880232558,0.182
650644,"Civale, Aaron",2024-03-29,745117,22.0,0.245,0.245,6.0,1.0,1.0,27.3,4.5,26.666666666666668,14.7,0.269767442,0.227
527048,"Pérez, Martín",2024-03-29,746091,21.0,0.368,0.388,2.0,3.0,0.0,9.5,14.3,62.5,25.7,-1.974418605,0.429
666200,"Luzardo, Jesús",2024-03-28,746089,19.0,0.246,0.259,8.0,2.0,1.0,42.1,10.5,33.33333333333333,46.2,1.484705882,0.211
