"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
94,660730,"Rodríguez, Elvin","2022-10-04",662199,94,100,0.389,0.333,0.455,0.722,0.497,0.462,0.366,7,18,88.9,15.4,2443,88.2,88.39,9,49,45,0.20000000000000284,6.51,111,163,140,149,301,330,298,"-2.808","2.808",,,20,13,5,0,0,2,5,25,2,10,2.20202,0.79204,0.41564,-0.21309,"90.2",168,38.46153846153847,15.384615384615385,10,6.01,-2.13,-0.21,2.46,0.45,2,"2.987234043",0.43,0.655,"-2.987234043",0.023,0.020000000000000018,0.067,0.035,18.4,"45.3",,,,,,
93,643377,"Jax, Griffin","2021-06-15",633626,93,100,0.313,0.375,0.333,0.688,0.436,0.395,0.237,5,16,91,22.8,2217,87.7,87.19,7,39,54,-0.5,5.88,113,161,121,151,289,322,288,"-1.308","1.308",,,20,11,3,0,0,2,6,30,3,15,2.21548,0.76355,0.75538,-0.17839,"91.7",176,63.63636363636363,18.181818181818183,10,5.58,-0.66,0.1,2.51,0.4,2,"1.406451613",0.369,0.465,"-1.406451613",0.076,0.031000000000000028,0.223,0.041,17.9,"40.0",,,,,,
87,572971,"Keuchel, Dallas","2021-06-26",633501,87,100,0.273,0.273,0.25,0.545,0.357,0.31,0.255,6,22,84.1,14.7,1970,83.6,83.67,8,40,47,0.10000000000000853,6.03,108,149,109,150,298,315,294,"-2.161","2.161",,,23,18,4,0,0,2,4,17.4,1,4.3,2.73931,0.50655,0.64609,0.21966,"91.4",123,22.22222222222222,5.555555555555555,4.3478260869565215,6.08,1.26,-0.26,1.8,0.304,1,"2.483908046",0.287,0.426,"-2.483908046",0.018,0.017000000000000015,0.119,0.047,20,"48.2",,,,,,
81,663460,"Bubic, Kris","2021-07-17",633248,81,100,0.105,0.158,0.133,0.263,0.212,0.27,0.155,2,19,87.3,28.1,1974,85.1,85.68,11,38,43,0.6000000000000085,6.53,111,158,122,143,304,325,309,"2.212","-2.212",,,23,15,0,1,1,0,5,21.7,3,13,2.53259,0.64679,0.58062,-0.56111,"90.8",169,33.33333333333333,6.666666666666667,4.3478260869565215,5.68,1.3,-0.01,2.61,0.217,1,"-2.730864198",0.268,0.308,"2.730864198",-0.05,-0.05100000000000002,-0.045,-0.058,28.9,"41.9",,,,,,
80,663436,"Martin, Davis","2022-06-10",661485,80,100,0.167,0.389,0.1,0.556,0.321,0.356,0.218,3,18,93.9,28.9,2415,87.4,87.74,13,41,39,0.29999999999999716,6.49,116,155,118,149,295,327,302,"-0.97","0.97",,,19,12,0,1,0,2,6,31.6,1,5.3,2.42313,0.586,0.24662,-0.16637,"92.4",185,41.66666666666667,16.666666666666664,10.526315789473683,6.15,-2.04,0.13,2.08,0.211,2,"1.2125",0.259,0.604,"-1.2125",-0.051,-0.048000000000000015,-0.048,-0.035,31.7,"43.7",,,,,,
80,663460,"Bubic, Kris","2021-05-13",634117,80,100,0.188,0,0.3,0.188,0.27,0.265,0.122,3,16,90.2,16.3,2016,86.2,86.68,9,29,51,0.5,6.7,109,161,118,145,298,327,297,"1.002","-1.002",,,20,10,3,0,0,0,6,30,4,20,2.22275,0.89775,0.55513,-0.49462,"92.0",181,50,10,5,5.74,1.38,0.24,2.69,0.35,1,"-1.2525",0.298,0.252,"1.2525",0.066,0.05199999999999999,-0.064,0.005,31,"44.2",,,,,,
80,672578,"Hernández, Carlos","2021-08-27",632753,80,100,0.059,0,0.083,0.059,0.049,0.094,0.04,1,17,85.2,22.2,2172,91.7,92.49,19,47,33,0.7999999999999972,6.86,114,159,115,147,297,311,286,"3.967","-3.967",,,18,12,1,0,0,0,6,33.3,0,0,1.93737,0.831,0.33525,-0.0815,"89.6",140,8.333333333333332,8.333333333333332,5.555555555555555,5.97,-0.85,0.23,2.59,0.056,1,"-4.95875",0.066,0.046,"4.95875",0.019,-0.010000000000000002,0.013,-0.045,40.4,"43.7",,,,,,
78,680739,"Winder, Josh","2022-05-17",662370,78,100,0.474,0.263,0.471,0.737,0.545,0.421,0.335,9,19,88.5,21.7,1861,88.5,87.7,6,34,44,-0.7999999999999972,5.78,107,150,109,146,290,308,285,"-3.702","3.702",,,22,18,6,2,0,1,1,4.5,2,9.1,2.10244,0.83436,0.50675,-0.1639,"91.2",181,33.33333333333333,11.11111111111111,9.090909090909092,6.32,-0.78,0.01,2.36,0.545,2,"4.746153846",0.426,0.55,"-4.746153846",0.139,0.11900000000000005,0.187,0.124,17.6,"57.0",,,,,,
77,456501,"Cueto, Johnny","2022-06-12",661483,77,100,0.316,0.158,0.333,0.474,0.342,0.314,0.235,6,19,91.5,15.3,1894,85.7,84.93,10,35,42,-0.7999999999999972,5.6,111,147,114,148,300,332,306,"0.195","-0.195",,,21,16,5,0,0,1,4,19,1,4.8,2.35377,0.74403,0.83092,-0.18329,"93.4",147,37.5,6.25,4.761904761904762,5.58,-2.6,0.18,2.28,0.333,1,"-0.253246753",0.276,0.412,"0.253246753",0.081,0.056999999999999995,0.062,0.028,28.6,"33.0",,,,,,
77,663485,"Sands, Cole","2022-09-10",661665,77,100,0.182,0,0.2,0.182,0.37,0.471,0.259,2,11,86.8,13.4,2203,87.3,85.96,1,21,56,-1.2999999999999972,5.45,109,158,118,151,298,322,284,"-1.011","1.011",,,18,10,2,0,0,0,1,5.6,5,27.8,2.38052,0.64091,0.45737,-0.16079,"90.5",158,30,0,0,5.36,-2.17,-0.02,2.59,0.5,0,"1.312987013",0.547,0.513,"-1.312987013",-0.077,-0.04700000000000004,-0.331,-0.101,4.8,"15.4",,,,,,
