"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
100,675912,"Lowther, Zac","2022-05-31",661075,100,100,0.348,0.13,0.333,0.478,0.367,0.367,0.331,8,23,89,18.8,2124,86.2,86.71,7,42,58,0.5,6.79,108,155,118,148,312,323,291,"-2.621","2.621",,,28,24,6,1,1,0,1,3.6,2,7.1,2.344,0.7798,0.6749,-0.1011,"93.3",140,45.83333333333333,4.166666666666666,3.571428571428571,5.53,2.04,-0.13,2.36,0.393,1,"2.621",0.383,0.468,"-2.621",0.017,0.010000000000000009,0.01,0,16.7,"33.8",,,,,,
95,642232,"Yarbrough, Ryan","2022-06-30",661726,95,100,0.348,0.348,0.286,0.696,0.464,0.343,0.261,8,23,91,11.3,1925,80.1,79.99,8,50,45,-0.09999999999999432,6.4,103,162,115,146,304,325,298,"-2.295","2.295",,,25,23,4,2,0,2,0,0,1,4,3.02842,0.61137,0.44021,-0.44021,"92.8",146,43.47826086956522,8.695652173913043,8,5.16,3,-0.04,2.45,0.4,2,"2.415789474",0.32,0.47,"-2.415789474",0.087,0.08000000000000002,0.226,0.121,16,"20.3",,,,,,
93,676596,"Fleming, Josh","2022-07-04",663251,93,100,0.348,0.174,0.389,0.522,0.376,0.273,0.236,8,23,86,-9.1,1761,89.1,89.1,13,47,46,0,6.33,110,153,111,145,281,321,306,"-2.477","2.477",,,23,19,6,1,0,1,4,17.4,0,0,2.80419,0.09935,0.97935,-0.0357,"92.0",114,36.84210526315789,5.263157894736842,4.3478260869565215,5.37,2.94,0.28,1.83,0.348,1,"2.66344086",0.236,0.396,"-2.66344086",0.112,0.11199999999999999,0.126,0.103,27.7,"26.9",,,,,,
92,669145,"Zimmermann, Bruce","2022-09-05",661045,92,100,0.308,0.423,0.25,0.731,0.447,0.353,0.274,8,26,91.4,8.6,2193,86.2,85.78,6,44,48,-0.4000000000000057,6.01,114,157,116,149,300,318,298,"-3.571","3.571",,,27,23,3,2,0,3,3,11.1,1,3.7,2.69391,0.39109,0.67099,-0.29253,"93.7",141,52.17391304347826,13.043478260869565,11.11111111111111,6.25,1.05,0.19,2.19,0.333,3,"3.881521739",0.301,0.528,"-3.881521739",0.034,0.03200000000000003,0.203,0.094,13.6,"42.2",,,,,,
92,665152,"Kremer, Dean","2022-09-07",663457,92,100,0.273,0,0.316,0.273,0.278,0.39,0.345,6,22,88.1,14.9,2162,88.2,88.04,7,55,37,-0.20000000000000284,6.38,112,155,117,150,305,316,293,"1.34","-1.34",,,24,19,6,0,0,0,3,12.5,2,8.3,2.41674,0.5675,0.67837,0.41228,"92.1",127,47.368421052631575,10.526315789473683,8.333333333333332,5.94,-2.57,-0.15,2.27,0.333,2,"-1.456521739",0.4,0.486,"1.456521739",-0.072,-0.067,-0.213,-0.112,12.7,"35.9",,,,,,
87,596271,"Lawrence, Casey","2022-07-02",661724,87,100,0.292,0.25,0.313,0.542,0.37,0.239,0.174,7,24,87.9,25,2223,85.4,85.17,14,48,39,-0.20000000000000284,6.12,114,150,119,151,286,320,291,"-3.681","3.681",,,25,18,5,0,0,2,6,24,1,4,2.38276,0.76103,0.65895,-0.31291,"91.5",166,38.88888888888889,11.11111111111111,8,5.13,-2.82,0.12,2.23,0.32,2,"4.231034483",0.207,0.348,"-4.231034483",0.118,0.11300000000000002,0.194,0.131,29.2,"21.1",,,,,,
87,667498,"Dugger, Robert","2022-05-01",661905,87,100,0.333,0.083,0.471,0.417,0.326,0.248,0.242,8,24,88.4,17.9,2042,83.3,82.75,11,50,37,-0.5,6.15,104,157,120,150,304,325,300,"0.12","-0.12",,,24,17,6,2,0,0,7,29.2,0,0,2.83425,0.55391,0.24276,-0.39149,"91.5",170,29.411764705882355,5.88235294117647,4.166666666666666,5.15,-1.89,-0.12,2.22,0.333,1,"-0.137931034",0.242,0.332,"0.137931034",0.091,0.09100000000000003,0.085,0.078,22,"30.4",,,,,,
83,669952,"White, Mitch","2022-09-13",661840,83,100,0.304,0.043,0.318,0.348,0.274,0.271,0.256,7,23,84.4,14.2,2294,88.5,87.78,8,51,32,-0.7000000000000028,6.2,111,151,114,150,300,318,289,"1.215","-1.215",,,24,22,6,1,0,0,2,8.3,0,0,2.51651,0.46108,0.06855,-0.18446,"90.2",155,18.181818181818183,0,0,6.19,-1.41,0.18,2.3,0.292,0,"-1.463855422",0.266,0.343,"1.463855422",0.048,0.025999999999999968,0.005,0.003,15.7,"44.0",,,,,,
82,657093,"Watkins, Spenser","2022-09-26",663250,82,100,0.421,0.053,0.471,0.474,0.42,0.37,0.344,8,19,87.9,14.7,2334,85.3,84.88,3,33,49,-0.3999999999999915,6.02,113,155,122,152,275,323,301,"-1.425","1.425",,,21,17,7,1,0,0,2,9.5,2,9.5,2.68915,0.48915,-0.37099,-0.07741,"93.0",193,35.294117647058826,0,0,6.21,-1.96,0.06,2.24,0.476,0,"1.737804878",0.406,0.427,"-1.737804878",0.077,0.06999999999999995,0.047,0.05,9.1,"53.9",,,,,,
82,676710,"Crawford, Kutter","2022-07-04",663251,82,100,0.105,0,0.182,0.105,0.123,0.134,0.101,2,19,85.6,22.1,2251,88.6,88.47,11,44,38,-0.09999999999999432,6.21,120,164,121,151,287,321,297,"1.586","-1.586",,,20,11,2,0,0,0,8,40,1,5,2.4678,0.48136,0.0622,-0.08585,"89.3",152,18.181818181818183,0,0,5.92,-2.01,0.28,2.29,0.15,0,"-1.934146341",0.146,0.141,"1.934146341",0.004,0.0040000000000000036,-0.036,-0.011,25,"46.9",,,,,,
