"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
112,656232,"Bielak, Brandon","2023-08-24",716873,112,100,0.333,0.095,0.389,0.429,0.389,0.329,0.223,7,21,92.3,0.8,2261,89.4,87.88,7,49,63,-1.5,5.48,115,149,119,148,284,323,290,"-0.771","0.771","70.4","7.4",25,18,5,2,0,0,3,12,3,12,2.19527,0.69884,0.61045,0.07205,"93.0",157,50,11.11111111111111,8,6.29,-0.95,-0.06,2.24,0.44,2,"0.688392857",0.348,0.387,"-0.688392857",0.11,0.09200000000000003,0.042,0.06,14.3,"46.1",11.644382262882589,3.600372876265668,31.45611602161845,0.5319148936170213,37.870369537687445,28.09763469589319
106,605488,"Springs, Jeffrey","2025-06-04",777643,106,100,0.2,0.12,0.235,0.32,0.257,0.324,0.233,5,25,90.5,10.1,1967,85.8,85.73,15,50,56,-0.09999999999999432,6.37,110,152,121,147,294,324,281,"1.731","-1.731","70.1","7.5",27,18,4,0,0,1,7,25.9,2,7.4,2.30132,0.83972,0.73208,-0.69792,"92.4",165,38.88888888888889,11.11111111111111,7.4074074074074066,6.08,2.34,0.44,2.64,0.259,2,"-1.633018868",0.29,0.471,"1.633018868",-0.033,-0.030999999999999972,-0.151,-0.067,30,"43.3",10.854995572201886,-7.389167525453004,29.889208920546242,0.46,39.56146038281223,32.441521869011936
106,674370,"Bido, Osvaldo","2024-06-22",745644,106,100,0.25,0.15,0.357,0.4,0.346,0.282,0.206,5,20,78.2,21,2300,90.9,90.95,17,53,53,0.09999999999999432,6.35,115,147,116,148,307,321,299,"-0.616","0.616","70.2","7.5",24,14,2,3,0,0,6,25,3,12.5,1.91538,0.86019,0.51915,0.14802,"89.6",138,7.142857142857142,0,0,5.75,-2.11,0.24,2.33,0.375,0,"0.581132075",0.338,0.248,"-0.581132075",0.044,0.03699999999999998,0.152,0.064,32.1,"34.7",12.785892096617646,-7.587235831688143,30.40920300672103,0.5576923076923077,38.69973390103471,33.512886222562614
98,671109,"Eder, Jake","2025-07-23",777034,98,100,0.28,0.2,0.353,0.48,0.351,0.347,0.26,7,25,91.1,22.2,2080,89.2,90.41,14,52,46,1.2000000000000028,7.04,111,150,117,148,299,328,296,"-0.502","0.502","71.3","7.0",27,18,4,2,0,1,7,25.9,1,3.7,2.05643,0.82827,0.31439,-0.28276,"91.1",169,33.33333333333333,11.11111111111111,7.4074074074074066,5.73,1.28,0.05,2.69,0.333,2,"0.512244898",0.315,0.498,"-0.512244898",0.02,0.018000000000000016,-0.018,0.004,26.9,"39.0",6.3264967972555946,5.405440180434758,31.344025731997988,0.4230769230769231,36.09489278885653,24.499384829131746
97,641540,"Dunning, Dane","2023-09-05",716705,97,100,0.423,0.423,0.421,0.846,0.542,0.379,0.273,11,26,88.2,10.2,2055,88.2,88.94,12,48,49,0.7000000000000028,6.8,116,152,127,148,315,327,305,"-3.838","3.838","71.1","7.6",28,22,6,2,0,3,4,14.3,2,7.1,2.50804,0.45381,0.68691,0.43124,"93.3",154,40.909090909090914,18.181818181818183,14.285714285714285,5.39,-2.38,0.06,2.15,0.464,4,"3.956701031",0.325,0.586,"-3.956701031",0.15,0.139,0.26,0.163,25,"36.8",12.411324797303239,-1.382844445926148,32.886988029527245,0.45652173913043476,38.830914521140414,28.877919625793545
96,665622,"Medina, Luis","2023-09-16",716564,96,100,0.154,0,0.333,0.154,0.293,0.357,0.245,2,13,73.8,11.2,2262,90.5,91.08,13,38,58,0.5999999999999943,6.62,107,147,111,151,293,321,293,"0.439","-0.439","67.8","7.3",18,6,2,0,0,0,7,38.9,4,22.2,2.22177,0.61316,0.44094,0.00156,"88.7",99,16.666666666666664,0,0,6.19,-2.15,0.13,2.27,0.389,0,"-0.457291667",0.455,0.263,"0.457291667",-0.091,-0.066,-0.109,-0.064,34.2,"47.7",10.970025603142016,-6.248175872735171,30.19014246253625,0.5405405405405406,36.178223619064056,31.85076096649597
96,682052,"Lopez, Jacob","2025-06-03",777658,96,100,0.278,0.5,0.333,0.778,0.465,0.37,0.217,5,18,86.5,24.6,2218,85.7,86.59,17,44,52,0.8999999999999915,6.99,108,152,118,149,296,322,282,"-2.321","2.321","70.6","7.5",20,9,2,0,0,3,9,45,1,5,2.55323,0.60052,0.35792,-0.33125,"92.1",205,33.33333333333333,33.33333333333333,15,5.17,3.8,0.13,2.55,0.35,3,"2.417708333",0.295,0.59,"-2.417708333",0.061,0.05499999999999999,0.188,0.095,38.6,"18.3",12.186488003387174,-8.927500439521888,27.989327358014513,0.5454545454545454,37.891655606127344,32.74796036389698
95,670046,"Rosenberg, Kenny","2024-07-11",746204,95,100,0.333,0.292,0.333,0.625,0.438,0.465,0.316,8,24,90.7,13.3,2056,84.7,83.77,9,45,50,-0.9000000000000057,5.78,105,149,119,149,308,325,301,"-2.77","2.77","73.5","7.5",27,20,5,1,0,2,4,14.8,3,11.1,2.30337,0.92521,0.58253,-0.33579,"92.6",164,45,20,14.814814814814813,6.05,1.76,-0.09,1.94,0.407,4,"2.915789474",0.392,0.725,"-2.915789474",0.017,0.014999999999999958,-0.1,-0.027,20,"45.8",14.850694302446922,-8.17871836023214,34.70803989706276,0.5365853658536586,37.67247876441848,35.312197649662885
94,663687,"Harris, Hogan","2024-05-07",745668,94,100,0.333,0.083,0.4,0.417,0.326,0.325,0.298,8,24,89.4,15.9,2382,86.2,86.44,10,46,48,0.20000000000000284,6.64,115,151,123,151,294,323,293,"-0.689","0.689","67.3","6.8",26,20,6,2,0,0,5,19.2,1,3.8,2.77415,0.43585,0.16553,-0.1166,"91.1",161,40,5,3.8461538461538463,5.86,2.27,-0.06,2.4,0.346,1,"0.732978723",0.326,0.399,"-0.732978723",0.035,0.019999999999999962,0.018,0.001,21.7,"50.2",5.765960623762644,4.8797281391248735,31.87290897326557,0.2972972972972973,35.901801524403055,30.02809730569719
92,683004,"Leiter, Jack","2024-09-20",744960,92,100,0.286,0.286,0.25,0.571,0.36,0.402,0.283,6,21,89.8,18.1,2403,91.3,91.94,12,40,52,0.6000000000000085,6.78,109,146,110,149,301,330,306,"-2.231","2.231","68.1","6.9",25,18,4,0,0,2,5,20,2,8,2.09402,0.67793,0.21576,-0.1362,"93.2",194,58.82352941176471,11.76470588235294,8,5.64,-2.06,0.34,2.03,0.32,2,"2.425",0.34,0.586,"-2.425",0.003,-0.020000000000000018,-0.015,-0.042,30,"51.6",8.347277307487632,-3.4638910569342265,33.825554510623974,0.28205128205128205,37.778885050483595,30.78909057017185
92,665622,"Medina, Luis","2023-06-09",717831,92,100,0.176,0.118,0.273,0.294,0.273,0.298,0.179,3,17,92.1,24.6,2199,91.4,91.61,9,27,65,0.19999999999998863,6.5,115,150,114,151,296,320,293,"0.302","-0.302",,,20,11,1,2,0,0,6,30,3,15,1.98467,0.79707,0.21402,0.10663,"92.1",201,45.45454545454545,9.090909090909092,5,6.1,-2.48,0.22,2.11,0.3,1,"-0.32826087",0.302,0.366,"0.32826087",-0.003,-0.0020000000000000018,-0.072,-0.025,33.3,"46.0",,,,,,
