Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"HOU",162,2319,6291,221,863,834,53,0.090446669,0.194245747,0.177006973,0.303282588,0.267477203,0.339012738,0.444484176,0.3364977335567764,0.33524968770230745,114.68718690157777,-6.194555093540657,106.66558288185556,17.80636699916795,34.09771936757385
"SFG",162,2597,6196,241,804,768,66,0.097159457,0.235797288,0.191138777,0.295250659,0.248993042,0.329002923,0.440131819,0.3294959891530821,0.3232195448768537,108.19583703513891,-8.967264278137009,55.514469839055096,63.786325925029814,32.80038231889872
"TBR",162,2389,6213,222,857,810,88,0.094157411,0.24818928,0.186308335,0.294397463,0.242600326,0.321192586,0.428908661,0.32241813426034743,0.31301545726810226,108.7515153559129,10.546723096398637,76.98386969948636,11.31954532302916,30.202895639573608
"TOR",162,2383,6070,262,846,816,81,0.081713344,0.200658978,0.200328707,0.295956338,0.265704894,0.330472103,0.466033601,0.34032781292948794,0.33847891176028155,112.48049805612571,1.0216956567019224,93.25992279358941,-7.405470114201307,29.46596854322778
"LAD",162,2459,6239,237,830,799,65,0.098252925,0.225677191,0.184756658,0.284265279,0.244260789,0.329788947,0.429017447,0.3267943585562254,0.3290477855792437,105.26669291293899,2.6697471421866794,43.933520153364924,38.16039808187634,29.214062323823672
"STL",162,2384,6001,198,706,678,89,0.079653391,0.223462756,0.16800598,0.28656639,0.243505886,0.313307601,0.411511866,0.3119674713671539,0.32019492408469064,95.22809257856153,10.688227912876755,-26.173749719117616,75.722775853239,25.150207293459495
"ATL",161,2392,6056,239,790,762,59,0.090653896,0.239927344,0.191310833,0.287560581,0.24370688,0.319329126,0.435017713,0.32290754993743337,0.33168265472479486,99.06803293287237,2.1833157630171627,-5.373155127128026,39.32891203626059,23.771555153976404
"OAK",162,2353,6104,199,743,698,88,0.089285714,0.221002621,0.167933271,0.278490759,0.237998146,0.31657631,0.405931417,0.3130806761773846,0.3258429622650638,102.49560999868231,0.8888577497564256,19.4506731716782,6.232277186587453,23.549078599116438
"SDP",162,2497,6119,180,729,695,110,0.095767282,0.216375224,0.158803864,0.286551197,0.242384843,0.321211123,0.401188707,0.31216189825742224,0.318340540191364,98.60298026107195,2.641957970801741,-8.393652554857752,32.41980300913565,22.98773295023784
"WSN",162,2386,6113,182,724,686,56,0.093734663,0.213152298,0.159331476,0.306792164,0.257753017,0.336736374,0.417084493,0.32586774045159766,0.3276637449318448,102.00460273900988,-13.076889097123058,1.8033088941742097,14.203988982830197,22.163461728539485
"MIN",162,2356,6078,228,729,690,54,0.086377097,0.231161566,0.182102744,0.28203125,0.241392008,0.314106789,0.423494752,0.3175350101875522,0.3349539834508143,102.29889495028536,-5.725785052636638,11.200524388073351,0.41320538835134357,22.048945584546896
"CHW",162,2292,6084,190,796,757,57,0.096318211,0.228303747,0.165951092,0.309929263,0.256300168,0.336138613,0.42225126,0.3290527831227326,0.3245565020408625,107.74363612187211,0.5265498301014304,58.08330293106744,-48.81804199703038,21.834068507829617
"BOS",162,2353,6122,219,829,783,40,0.083632799,0.226396602,0.187989081,0.309003051,0.260964513,0.328477905,0.448953594,0.33277909194318755,0.3341615042868443,105.34026561444219,-5.485608376329765,34.2300623894019,-27.2133649000898,21.73916340923196
"NYM",162,2419,5856,176,636,604,54,0.084528688,0.237704918,0.152015355,0.291132332,0.238579654,0.314668498,0.390595009,0.3069068735193256,0.3109475762633553,94.47453038044232,-11.747308754875121,-53.12311778447841,53.32311508152634,19.714075911669298
