Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"CHW",162,93,69,43,674,162,1403.1,10.184323838823103,3.1104515502702803,1.1672209941220433,0.2877637130801688,0.74350693,0.411637347,0.127629733,95.48424526930916,3.7261285581588304,3.6756511791291224,3.73868024780855,3.8455546451534475,27.947871955344453
"LAD",162,106,56,56,762,162,1452,9.911158177612352,3.0123970446026287,0.9979340003724757,0.2599615278922781,0.76541311,0.445278969,0.118382352,94.14829075606433,3.0309920880878303,3.312948267146023,3.5433124027996024,3.7544229591461646,27.54686813056469
"MIL",162,95,67,44,695,162,1436,10.140669123477819,3.3655990848625392,1.0529248533648168,0.27528559487322374,0.74732864,0.444986449,0.133016627,93.17662771144285,3.4972146915331415,3.614630737596636,3.720173430772732,3.7510852472819427,23.584193171467632
"SFG",162,107,55,56,761,162,1455,8.814433706447877,2.5731960855314506,0.9340206945078102,0.27945274892323285,0.74855415,0.455831265,0.109341057,93.66160593192315,3.247422944480797,3.7411655004187825,3.548041026057397,3.8735284042905747,21.97512681595981
"NYY",162,92,70,47,674,162,1435.1,9.838133671877424,3.0849979391738,1.2289829188578554,0.2840477482365708,0.73981274,0.418550272,0.128777923,94.87553166557284,3.7621926087485367,3.733301251901218,3.904358383507959,4.000056828685919,21.639994671568274
"BOS",162,92,70,49,725,162,1419,9.68499042526188,3.4630024703293953,1.1162791845750433,0.32285938727415553,0.7188409,0.441555162,0.12625538,94.81913475076152,4.274841877293063,4.132034720135537,3.9515704960110574,4.072444930193912,20.352192424295936
"TBR",162,100,62,42,693,162,1455.2,9.138081767706927,2.6956722941273483,1.1376231699986974,0.2808842652795839,0.73727795,0.415264875,0.122666666,94.10281755256098,3.6725443640175337,3.9684562319044376,3.794490319042412,3.969353984849503,18.93726835027337
"PHI",162,82,80,36,687,162,1418.2,9.38909865271403,3.2290886582644873,1.2687971152316257,0.295700342917436,0.71384615,0.454406908,0.146520146,94.13951242699588,4.390038018701425,3.8161858431937885,4.1512372249128315,4.016148609489578,17.641953375656158
"CIN",162,83,79,41,741,162,1434.1,9.56263164063617,3.8714853820685806,1.2925866915820543,0.2967265047518479,0.7262278,0.441949476,0.148308135,94.33738474766356,4.4111089523407,3.981820505213076,4.336429772422153,4.177958221421003,17.161608387716115
"NYM",162,77,85,41,705,162,1379.1,9.480667660288539,3.099323564099832,1.2397294256399327,0.2866277453433417,0.732,0.425067385,0.139398385,94.50009966548434,3.895360353194947,4.073517643370207,4.039294696351416,3.9920440249582443,17.149642020231113
"HOU",162,95,67,34,674,162,1445,9.068512924694442,3.419377469544814,1.1647059868941352,0.27488151658767773,0.7505352,0.446614253,0.135605511,93.18922022749874,3.7993082994942378,4.039321141925831,4.1222833428867265,4.123705746174249,16.266394247766584
"MIA",162,67,95,33,757,162,1415,8.783746370402001,3.3646646125580437,1.030388784942161,0.2896302042927334,0.71642148,0.446099469,0.119733924,93.77501689829938,3.956184100210025,4.1327732817678955,4.014557166366823,4.213272348331097,15.89413597015664
"LAA",162,77,85,39,724,162,1421.2,9.198359830153263,3.7477143974196365,1.190152545126506,0.304862361718549,0.6958038,0.44469246,0.134960516,92.92884910658594,4.690973595418836,4.223804560404626,4.254676690188713,4.264352969657229,15.494840345345438
"ATL",161,88,73,40,742,161,1410.2,9.040407060994122,3.292060722281558,1.1675331631347385,0.28017012227538546,0.74417712,0.436981327,0.135455218,94.33746639158072,3.891777210449128,4.105659004776633,4.085204318949704,4.088502924820009,15.452165977098048
