key_retro,key_fangraphs,key_mlbam,name_last,name_first
bradj002,13166,605152,Bradley,Jed
barrm002,1000605,110625,Barrios,Manuel
martf102,1008165,118336,Martin,Frank
browb101,1001500,111603,Browne,Byron
darir101,1002986,113051,Daringer,Rolla
calif101,1001836,111880,Caligiuri,Fred
hernl003,1116,115817,Hernández,Liván
korcs101,1007111,117263,Korcheck,Steve
snydp101,1012254,122501,Snyder,Pop
suckt101,1012667,122925,Suck,Tony
knudm001,1007065,117218,Knudson,Mark
sadlc002,11209,594987,Sadler,Casey
helfh101,1005611,115724,Helf,Hank
ohkat001,788,219594,Ohka,Tomo
scotj101,1011683,121937,Scott,Jack
littl101,1007666,117827,Littleton,Larry
millo002,24655,680911,Miller,Owen
lewim001,1007585,117740,Lewis,Mark
asenm001,586,407900,Asencio,Miguel
edmat001,19470,669242,Edman,Tommy
thomk101,1012982,123254,Thomas,Kite
vasqj001,2221,430655,Vásquez,Jorge
bradn101,1001329,111361,Brady,Neal
roacj101,1011012,121259,Roach,John
meekj001,29891,703231,Meeker,James
castd004,19906,660636,Castillo,Diego
kellb104,1006793,116963,Kelly,Billy
branm102,1001352,111391,Brannock,Mike
berga101,1000878,110907,Bergman,Al
hessg101,1005748,115869,Hesselbacher,George
monte101,1009059,119255,Montague,Ed
thomb101,1012964,123267,Thomas,Bill
bakej104,1000461,110478,Baker,Jesse
currp102,1002888,112952,Curran,John
tebep102,1012901,123168,Tebeau,Pussy
fordt101,1004225,114307,Ford,Tom
smitb112,1012096,122469,Smith,Bill
tannl101,1012823,123087,Tannehill,Lee
coffs101,1002393,112443,Coffman,George
carrd104,1001992,112040,Carrithers,Don
saboa101,1011356,121605,Sabo,Alex
woulj101,1014267,124589,Woulfe,Jimmy
grift102,1005053,115153,Griffith,Tommy
mcgrs101,1008547,118729,McGrew,Slim
doylj101,1003463,113525,Doyle,Jeff
maskl101,1008214,118394,Maskrey,Leech
skopj101,1012042,122302,Skopec,John
smitd005,1012120,137203,Smith,Dan
cessl001,13345,570666,Cessa,Luis
cacec101,1001808,111852,Cacek,Craig
dewac101,1003256,113320,Dewald,Charlie
washh101,1013656,123963,Washington,Herb
valdj101,1013312,123602,Valdez,Julio
meled101,1008743,118928,Mele,Dutch
penat003,4573,430963,Peña,Tony
walkj102,1013541,123847,Walkup,Jim
willd102,1013984,124296,Williams,Davey
jensj101,1006398,116533,Jensen,Jackie
zastr001,15094,642239,Zastryzny,Rob
kingl102,1006936,117084,King,Lynn
woodk001,1014240,124568,Woodson,Kerry
