season,player_id,name,bats,throws
2022,abboc001,Cory Abbott,R,R
2022,abrac001,CJ Abrams,L,R
2022,abrea001,Albert Abreu,R,R
2022,abreb002,Bryan Abreu,R,R
2022,abrej003,Jose Abreu,R,R
2022,acevd001,Domingo Acevedo,R,R
2022,acunr001,Ronald Acuna,R,R
2022,adama002,Austin Adams,R,R
2022,adamj002,Jason Adam,R,R
2022,adamr004,Riley Adams,R,R
2022,adamw002,Willy Adames,R,R
2022,adelj001,Jo Adell,R,R
2022,adonj001,Joan Adon,R,R
2022,adrie001,Ehire Adrianza,B,R
2022,aguij001,Jesus Aguilar,R,R
2022,aguir002,Ryan Aguilar,L,L
2022,ahmen001,Nick Ahmed,R,R
2022,akink001,Keegan Akin,L,L
2022,albeh001,Hanser Alberto,R,R
2022,albio001,Ozzie Albies,B,R
2022,alcaj001,Jorge Alcala,R,R
2022,alcas001,Sandy Alcantara,R,R
2022,alcas002,Sergio Alcantara,B,R
2022,alexa001,A. J. Alexy,R,R
2022,alexj001,Jason Alexander,R,R
2022,alexs001,Scott Alexander,L,L
2022,alext001,Tyler Alexander,R,L
2022,alfaj002,Jorge Alfaro,R,R
2022,alfoa002,Anthony Alford,R,R
2022,allak001,Kolby Allard,L,L
2022,alldc001,Cam Alldred,L,L
2022,allea001,Austin Allen,L,R
2022,alleg002,Greg Allen,B,R
2022,allel002,Logan Allen,R,L
2022,allen002,Nick Allen,R,R
2022,almoa001,Abraham Almonte,B,R
2022,almoa002,Albert Almora,R,R
2022,almoy001,Yency Almonte,R,R
2022,alonp001,Pete Alonso,R,R
2022,altuj001,Jose Altuve,R,R
2022,alvae001,Eddy Alvarez,L,R
2022,alvaf001,Francisco Alvarez,R,R
2022,alvaj003,Jose Alvarez,L,L
2022,alvaj004,Jose Alvarado,L,L
2022,alvar001,R. J. Alvarez,R,R
2022,alvay001,Yordan Alvarez,L,R
2022,alzoa001,Adbert Alzolay,R,R
2022,andeb006,Brian Anderson,R,R
2022,andec001,Chase Anderson,R,R
2022,andei001,Ian Anderson,R,R
2022,andes002,Shaun Anderson,R,R
2022,andet001,Tim Anderson,R,R
2022,andet002,Tyler Anderson,L,L
2022,andre001,Elvis Andrus,R,R
2022,andum001,Miguel Andujar,R,R
2022,appem001,Mark Appel,R,R
2022,aquia001,Aristides Aquino,R,R
2022,aranj001,Jonathan Aranda,L,R
2022,aranv001,Victor Arano,R,R
2022,arauj001,Jonathan Arauz,B,R
2022,archc001,Chris Archer,R,R
2022,arcio002,Orlando Arcia,R,R
2022,arenn001,Nolan Arenado,R,R
2022,ariag002,Gabriel Arias,R,R
2022,arihk001,Kohei Arihara,R,R
2022,armss001,Shawn Armstrong,R,R
2022,arozr001,Randy Arozarena,R,R
2022,arral001,Luis Arraez,L,R
2022,arroc001,Christian Arroyo,R,R
2022,ashba003,Aaron Ashby,R,L
2022,ashcg001,Graham Ashcraft,L,R
2022,assaj001,Javier Assad,R,R
2022,astuw001,Willians Astudillo,R,R
2022,avilp001,Pedro Avila,R,R
2022,azocj001,Jose Azocar,R,R
2022,badda001,Akil Baddoo,L,L
2022,badeh001,Harrison Bader,R,R
2022,bae-j001,Ji Hwan Bae,L,R
2022,baezj001,Javier Baez,R,R
2022,baezm001,Michel Baez,R,R
2022,baezp001,Pedro Baez,R,R
2022,bakeb001,Bryan Baker,R,R
2022,banda001,Anthony Banda,L,L
2022,bankt001,Tanner Banks,R,L
2022,bannr001,Rylan Bannon,R,R
2022,banum001,Manny Banuelos,R,L
2022,bardd001,Daniel Bard,R,R
2022,bardl001,Luke Bard,R,R
2022,barkl002,Luke Barker,R,R
2022,barlj001,Joe Barlow,R,R
2022,barls001,Scott Barlow,R,R
2022,barna001,Austin Barnes,R,R
2022,barnj002,Jacob Barnes,R,R
2022,barnm001,Matt Barnes,R,R
2022,barnt001,Tucker Barnhart,B,R
2022,barrj003,Jaime Barria,R,R
2022,barrk002,Kyle Barraclough,R,R
2022,barrl001,Luis Barrera,L,L
2022,barrt004,Tres Barrera,R,R
2022,bartj003,Joey Bart,R,R
2022,bassa001,Anthony Bass,R,R
2022,bassc001,Chris Bassitt,R,R
2022,battm001,Matthew Batten,R,R
2022,batyb001,Brett Baty,L,R
2022,baumm001,Mike Baumann,R,R
2022,bautf001,Felix Bautista,R,R
2022,baz-s001,Shane Baz,R,R
2022,bazae001,Eduard Bazardo,R,R
2022,beasj001,Jeremy Beasley,R,R
2022,beatm001,Matt Beaty,L,R
2022,beckt001,Tim Beckham,R,R
2022,bednd001,David Bednar,L,R
2022,beedt001,Tyler Beede,R,R
2022,beekj001,Jalen Beeks,L,L
2022,beers001,Seth Beer,L,R
2022,bella001,Andrew Bellatti,R,R
2022,bellb002,Brayan Bello,R,R
2022,bellc002,Cody Bellinger,L,L
2022,bellj005,Josh Bell,B,R
2022,beltb001,Brandon Belt,L,L
2022,bemba001,Anthony Bemboom,L,R
2022,benda001,Anthony Bender,R,R
2022,benia002,Andrew Benintendi,L,L
2022,bensw001,Will Benson,L,L
2022,bernb001,Brennan Bernardino,L,L
2022,bernw001,Wynton Bernard,R,R
2022,berrj001,Jose Berrios,R,R
2022,bertj001,Jon Berti,R,R
2022,bethc001,Christian Bethancourt,R,R
2022,bettm001,Mookie Betts,R,R
2022,bichb001,Bo Bichette,R,R
2022,bickp001,Phil Bickford,R,R
2022,biebs001,Shane Bieber,R,R
2022,bielb001,Brandon Bielak,L,R
2022,biggc002,Cavan Biggio,L,R
2022,birdj001,Jake Bird,R,R
2022,blacc001,Charlie Blackmon,L,L
2022,blacp001,Paul Blackburn,R,R
2022,blact002,Ty Blach,R,L
2022,bland001,Dairon Blanco,R,R
2022,blanr001,Ronel Blanco,R,R
2022,blant002,Travis Blankenhorn,L,R
2022,bledj001,JJ Bleday,L,L
2022,bleir001,Richard Bleier,L,L
2022,bogax001,Xander Bogaerts,R,R
2022,bohma001,Alec Bohm,R,R
2022,bolar001,Ronald Bolanos,R,R
2022,bolts001,Skye Bolt,B,R
2022,borur001,Ryan Borucki,L,L
2022,boted002,David Bote,R,R
2022,boucs001,Sean Bouchard,R,R
2022,boxbb001,Brad Boxberger,R,R
2022,boydm001,Matt Boyd,L,L
2022,bracs001,Silvino Bracho,R,R
2022,brada001,Archie Bradley,R,R
2022,bradb002,Bobby Bradley,L,R
2022,bradj001,Jackie Bradley,L,R
2022,bradk001,Kyle Bradish,R,R
2022,branm003,Michael Brantley,L,L
