Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",142,624,502,146,75,26,1,44,108,120,111,22,156,6,5,0,14,8,2,0.290837,0.177885,0.25,0.711538,0.421474,0.609562,0.424978,1.03104,0.318725,3.79863,0.332248,,-0.341319,130.434,56.7034,178.424,-0.341319,5.5,57.33580094575882,-1.3783068656921387,7.92321,1.850000023841858,,,,,,,1170.9,8.245774647,1170.9,8.245774647,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",152,621,537,124,62,22,0,40,83,107,75,9,172,5,4,0,7,6,2,0.230912,0.120773,0.276973,0.436047,0.328502,0.495345,0.348035,0.823847,0.264432,2.91451,0.255319,,-0.497057,91.0123,17.6364,130.823,-0.497057,9.9,22.063117623329163,21.308730125427246,6.62498,18.729999542236328,,,,,,,843,5.546052631,843,5.546052631,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",152,656,594,172,100,37,8,27,99,94,49,5,113,6,7,0,8,32,9,0.289562,0.0746951,0.172256,0.433628,0.346037,0.515152,0.364065,0.861188,0.225589,7.19368,0.314534,,1.72409,104.68,27.1682,132.318,1.72409,7.1,26.711161255836487,14.331040382385254,6.50991,3.0999999046325684,,,,,,,976.5,6.424342105,976.5,6.424342105,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",152,693,590,168,85,30,5,48,134,131,94,17,168,5,4,0,6,29,5,0.284746,0.135642,0.242424,0.559524,0.385281,0.59661,0.407005,0.981892,0.311864,7.05028,0.31746,,2.64993,134.744,52.8612,164.906,2.64993,0,55.96046161651611,-17.5,6.29322,1.2699999809265137,,,,,,,1255.6,8.260526315,1255.6,8.260526315,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",152,666,531,143,81,24,2,36,108,102,127,9,117,3,4,1,14,22,4,0.269303,0.190691,0.175676,1.08547,0.410526,0.525424,0.399084,0.93595,0.256121,5.06114,0.280105,,1.42839,125.211,46.5184,162.272,1.42839,-6.9,50.58246052265167,-14.241270065307617,5.98451,4.650000095367432,,,,,,,1109.8,7.301315789,1109.8,7.301315789,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",152,663,603,164,104,29,2,29,96,99,48,5,149,10,2,0,12,27,7,0.271973,0.0723982,0.224736,0.322148,0.334842,0.470978,0.34542,0.80582,0.199005,5.73421,0.316159,,1.49692,95.7602,17.4216,129.022,1.49692,6.7,24.175315976142883,9.136066913604736,5.74361,9.489999771118164,,,,,,,889.2,5.85,889.2,5.85,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",151,673,595,155,96,31,2,26,100,90,60,2,124,12,6,0,8,23,4,0.260504,0.089153,0.18425,0.483871,0.337296,0.45042,0.34044,0.787716,0.189916,5.84035,0.286031,,1.86605,94.4838,14.9637,122.099,1.86605,5.7,19.493080377578735,13.118430137634277,5.62674,25.350000381469727,,,,,,,867.2,5.743046357,867.2,5.743046357,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",149,646,564,153,94,29,2,28,102,86,74,4,128,6,2,0,11,24,6,0.271277,0.114551,0.198142,0.578125,0.360681,0.478723,0.361692,0.839405,0.207447,5.58544,0.304878,,1.22061,101.839,25.5093,137.094,1.22061,9.6,29.621475100517273,2.479188919067383,5.4826,14.010000228881836,,,,,,,920.3,6.176510067,920.3,6.176510067,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Gunnar Henderson","BAL",152,647,572,156,93,31,6,26,96,87,65,3,139,6,4,0,6,21,4,0.272727,0.100464,0.214838,0.467626,0.35085,0.484266,0.35801,0.835116,0.211538,6.51215,0.316302,,1.49906,100.063,23.6149,132.608,1.49906,-2.4,26.36466372013092,4.7318339347839355,5.46064,12.510000228881836,,,,,,,911.8,5.99868421,911.8,5.99868421,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"William Contreras","MIL",152,647,565,153,101,31,1,20,87,83,75,4,124,3,4,0,18,6,2,0.270796,0.11592,0.191654,0.604839,0.357032,0.435398,0.344522,0.792431,0.164602,3.61942,0.312941,,-0.774328,92.9776,16.5296,122.348,-0.774328,1.5,16.36304533481598,13.386390686035156,5.24544,56.560001373291016,,,,,,,815.2,5.363157894,815.2,5.363157894,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"José Ramírez","CLE",150,640,567,154,90,34,3,27,90,91,63,18,76,4,6,0,7,28,6,0.271605,0.0984375,0.11875,0.828947,0.345313,0.485009,0.346866,0.830321,0.213404,5.89301,0.270213,,2.22526,93.1899,17.569,124.672,2.22526,3.8,20.835456609725952,6.151557922363281,5.01553,6.28000020980835,,,,,,,902.3,6.015333333,902.3,6.015333333,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Wyatt Langford","TEX",145,605,528,141,82,29,3,27,87,88,68,3,135,5,4,0,6,20,5,0.267045,0.112397,0.22314,0.503704,0.353719,0.486742,0.360439,0.840461,0.219697,5.73458,0.308108,,0.948959,94.7606,23.2752,134.242,0.948959,8.6,25.365838587284088,1.931128978729248,4.92396,37.75,,,,,,,859.6,5.928275862,859.6,5.928275862,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Corbin Carroll","ARI",152,660,574,147,80,27,13,27,112,92,69,3,145,10,5,2,5,35,6,0.256098,0.104545,0.219697,0.475862,0.343465,0.489547,0.355516,0.833012,0.233449,8.49153,0.29484,,3.51304,100.737,22.7532,128.141,3.51304,7.2,25.526031732559204,-0.07513236999511719,4.84988,14.100000381469727,,,,,,,942.1,6.198026315,942.1,6.198026315,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Pete Crow-Armstrong","CHC",152,612,559,143,84,28,6,25,90,92,32,1,149,9,6,6,3,31,8,0.255814,0.0522876,0.243464,0.214765,0.30363,0.461538,0.326536,0.765169,0.205725,7.59511,0.30179,,2.10525,79.0108,6.69833,111.065,2.10525,13.4,10.131127119064331,15.648676872253418,4.72019,32.939998626708984,,,,,,,751.7,4.945394736,751.7,4.945394736,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
