Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,5,,2.53934,30,30,0,0,,184.3,719,141,56,52,16,33,0,6,227,11.0852,1.6115,6.87879,0.781335,0.315716,0.0458971,0.269819188863039,0.207353,0.944113,0.286041,0.778364,,,2.43519,6.37918,6.2487,7.019999980926514,,,,,,,1137.4200225830077,6.171568115837637,1050.500015258789,5.69994572905011,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",14,6,,2.83343,29,29,0,0,,174.7,712,145,59,55,17,46,1,4,215,11.0761,2.36978,4.67391,0.875787,0.301966,0.0646067,0.23735953867435455,0.219033,1.0933,0.297674,0.789474,,,2.79741,5.14301,5.46218,12.239999771118164,,,,,,,986.6799774169924,5.647853432472085,932.4999847412109,5.337721814714626,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",15,9,,3.06,32,32,0,0,,200,817,183,74,68,15,41,1,5,190,8.55,1.845,4.63415,0.675,0.232558,0.0501836,0.18237454816699028,0.237354,1.12,0.29682,0.738916,,,2.90014,5.03434,5.19981,57.189998626708984,,,,,,,1061.7,5.3085,1047,5.235,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Paul Skenes","PIT",12,7,,2.79534,32,32,0,0,,180.3,721,143,61,56,16,47,0,6,205,10.2329,2.34609,4.3617,0.798669,0.284327,0.0651872,0.21914009004831314,0.214072,1.0538,0.284116,0.76969,,,2.89664,4.97093,5.65957,9.649999618530273,,,,,,,1016.620022583008,5.638491433032156,944.5000152587891,5.238491399180155,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",10,6,,3.22328,29,29,0,0,,178.7,732,161,69,64,16,42,0,6,175,8.81365,2.11528,4.16667,0.80582,0.239071,0.057377,0.18169399350881577,0.23538,1.13598,0.294118,0.741971,,,3.14633,4.33882,4.62672,24.75,,,,,,,912.9799774169923,5.109009474026031,891.4999847412109,4.988808058006966,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",13,7,,3.35503,28,28,0,0,,169,666,130,68,63,18,43,0,5,182,9.69231,2.28994,4.23256,0.95858,0.273273,0.0645646,0.20870869606733322,0.210356,1.02367,0.267943,0.710419,,,3.21798,4.16235,3.90373,26.639999389648438,,,,,,,911.2,5.391715976331361,831,4.9171597633136095,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Hunter Brown","HOU",13,6,,3.0234,30,28,0,0,,166.7,685,135,61,56,15,55,0,6,180,9.71806,2.96941,3.27273,0.809838,0.262774,0.080292,0.18248175084590912,0.216346,1.13977,0.27972,0.763314,,,3.24311,3.79935,4.30483,36.189998626708984,,,,,,,875.0799774169923,5.249430074606968,815.4999847412109,4.892021593704116,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",13,8,,3.40116,28,28,0,0,,172,705,149,70,65,15,49,1,6,156,8.16279,2.56395,3.18367,0.784884,0.221277,0.0695035,0.15177305042743683,0.229231,1.15116,0.279749,0.723164,,,3.41421,3.67316,3.62279,50.04999923706055,,,,,,,847.9,4.929651162790697,812,4.72093023255814,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",11,8,,3.60656,30,30,0,0,,164.7,688,136,71,66,19,63,2,4,192,10.4918,3.44262,3.04762,1.03825,0.27907,0.0915698,0.1875000149011612,0.219002,1.20826,0.285366,0.742459,,,3.52372,3.60145,3.06262,74.7699966430664,,,,,,,814.4799774169923,4.945233712863678,759.4999847412109,4.6114146861817344,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Andrew Abbott","CIN",9,7,,3.92015,30,30,0,0,,165.3,693,158,78,72,20,48,0,4,149,8.11252,2.61343,3.10417,1.08893,0.215007,0.0692641,0.14574314653873444,0.24649,1.24622,0.292373,0.719101,,,3.84899,3.44324,2.99461,221.92999267578125,,,,,,,708.420022583008,4.285662489438621,708.5000152587891,4.2861464136630865,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Bryan Woo","SEA",11,8,,3.3478,28,27,0,0,,161.3,640,132,65,60,19,33,1,8,165,9.20645,1.84129,5,1.06014,0.257812,0.0515625,0.20625000074505806,0.220367,1.02294,0.272289,0.722543,,,3.38312,3.37883,3.0357,34.77000045776367,,,,,,,823.7200225830077,5.1067576379319295,766.5000152587891,4.752014883799073,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jesús Luzardo","PHI",11,9,,3.91304,28,28,0,0,,161,669,143,76,70,21,49,0,4,180,10.0621,2.73913,3.67347,1.17391,0.269058,0.0732436,0.19581463932991028,0.232143,1.19255,0.293976,0.713407,,,3.58234,3.22063,2.66551,70.58999633789062,,,,,,,762.3000000000002,4.734782608695653,733,4.552795031055901,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Hunter Greene","CIN",8,6,,3.61314,24,24,0,0,,137,550,101,59,55,16,43,0,13,159,10.4453,2.82482,3.69767,1.05109,0.289091,0.0781818,0.21090908348560333,0.204453,1.05109,0.266458,0.699013,,,3.55849,3.21839,3.06839,444.32000732421875,,,,,,,704.4000000000002,5.1416058394160595,627,4.576642335766423,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Ranger Suarez","BOS",12,8,,3.52601,28,27,0,0,,155.7,659,152,66,61,14,46,1,4,135,7.80347,2.65896,2.93478,0.809249,0.204856,0.0698027,0.1350531131029129,0.249589,1.27168,0.3,0.73991,,,3.53334,3.21402,3.3447,183.97999572753906,,,,,,,704.7799774169921,4.526525312979134,716.4999847412109,4.60179832231718,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"MacKenzie Gore","TEX",10,9,,3.95541,29,29,0,0,,157,669,136,75,69,17,59,0,9,177,10.1465,3.38217,3,0.974522,0.264574,0.0881913,0.1763826608657837,0.22629,1.24204,0.292383,0.700935,,,3.58737,3.03047,2.06993,164.82000732421875,,,,,,,749.1,4.7713375796178354,714,4.547770700636943,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Framber Valdez","DET",12,9,,3.64162,27,27,0,0,,173,727,156,76,70,15,59,0,8,152,7.90751,3.06936,2.57627,0.780347,0.209078,0.0811554,0.12792296707630157,0.236364,1.24277,0.286004,0.716495,,,3.66693,3.02326,3.13639,81.13999938964844,,,,,,,793.1,4.584393063583815,773,4.468208092485549,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
